PriceID,CompanyID,PeriodID,ClosingPrice,MarketCap
81,CMP0002,21,47.99,1.29
82,CMP0002,22,48.77,1.47
83,CMP0002,23,77.67,2.59
84,CMP0002,24,72.82,5.17
85,CMP0002,25,125.63,9.77
86,CMP0002,26,103.96,1.1
87,CMP0002,27,192.78,7.86
88,CMP0002,28,126.08,1.78
89,CMP0002,29,58.36,5.82
90,CMP0002,30,34.46,1.69
91,CMP0002,31,132.08,5.7
92,CMP0002,32,11.34,1.05
93,CMP0002,33,57.45,4.7
94,CMP0002,34,12.73,0.68
95,CMP0002,35,22.13,0.92
96,CMP0002,36,142.76,1.83
97,CMP0002,37,111.78,9.34
98,CMP0002,38,70.69,1.87
99,CMP0002,39,55.25,2.85
100,CMP0002,40,175.32,15.97
101,CMP0002,41,40.04,1.26
102,CMP0002,42,81.26,7.9
103,CMP0002,43,70.72,5.98
104,CMP0002,44,174.31,4.97
105,CMP0002,45,13.11,0.31
106,CMP0002,46,10.84,0.41
107,CMP0002,47,189.2,13.53
108,CMP0002,48,131.99,2.59
109,CMP0002,49,68.77,4.82
110,CMP0002,50,140.62,6.32
111,CMP0002,51,106.22,5.64
112,CMP0002,52,8.56,0.24
113,CMP0002,53,60.55,2.28
114,CMP0002,54,107.41,7.93
115,CMP0002,55,164.74,14.76
116,CMP0002,56,87.63,6.14
117,CMP0002,57,123.38,7.3
118,CMP0002,58,198.29,4.27
119,CMP0002,59,18.18,1.49
120,CMP0002,60,147.48,7.65
121,CMP0003,1,134.66,10.99
122,CMP0003,2,152.28,3.27
123,CMP0003,3,82.41,4.14
124,CMP0003,4,162.16,13.15
125,CMP0003,5,184.94,9.96
126,CMP0003,6,112.16,10.87
127,CMP0003,7,157.25,8.08
128,CMP0003,8,199.36,16.6
129,CMP0003,9,166.37,12.65
130,CMP0003,10,52.03,5.09
131,CMP0003,11,78.3,3.56
132,CMP0003,12,180.84,9.32
133,CMP0003,13,13.13,0.23
134,CMP0003,14,41.11,1.06
135,CMP0003,15,124.93,9.96
136,CMP0003,16,133.01,2.86
137,CMP0003,17,177.95,12.12
138,CMP0003,18,132.95,3.45
139,CMP0003,19,147.9,8.7
140,CMP0003,20,53.1,4.0
141,CMP0003,21,113.07,1.18
142,CMP0003,22,76.82,3.87
143,CMP0003,23,130.25,2.06
144,CMP0003,24,70.18,5.66
145,CMP0003,25,199.68,18.77
146,CMP0003,26,75.64,3.03
147,CMP0003,27,94.35,5.04
148,CMP0003,28,133.11,12.79
149,CMP0003,29,17.75,0.96
150,CMP0003,30,114.23,10.77
151,CMP0003,31,123.66,5.13
152,CMP0003,32,143.03,8.43
153,CMP0003,33,17.14,0.96
154,CMP0003,34,176.18,15.71
155,CMP0003,35,25.57,1.77
156,CMP0003,36,82.21,7.59
157,CMP0003,37,40.92,3.7
158,CMP0003,38,135.24,9.08
159,CMP0003,39,41.55,3.62
160,CMP0003,40,38.88,2.88
161,CMP0003,41,96.9,9.51
162,CMP0003,42,130.36,9.45
163,CMP0003,43,135.79,8.21
164,CMP0003,44,172.38,6.26
165,CMP0003,45,142.22,8.34
166,CMP0003,46,171.19,12.0
167,CMP0003,47,17.41,1.48
168,CMP0003,48,89.75,7.15
169,CMP0003,49,100.1,6.88
170,CMP0003,50,58.98,5.75
171,CMP0003,51,26.07,1.06
172,CMP0003,52,175.47,9.55
173,CMP0003,53,165.64,15.89
174,CMP0003,54,76.97,1.61
175,CMP0003,55,129.04,11.9
176,CMP0003,56,99.77,6.18
177,CMP0003,57,64.73,5.24
178,CMP0003,58,139.24,6.09
179,CMP0003,59,84.88,3.23
180,CMP0003,60,192.98,8.6
181,CMP0004,1,66.22,5.96
182,CMP0004,2,110.63,8.69
183,CMP0004,3,118.19,2.66
184,CMP0004,4,12.69,0.67
185,CMP0004,5,189.09,4.42
186,CMP0004,6,101.0,6.26
187,CMP0004,7,92.42,5.17
188,CMP0004,8,59.36,1.72
189,CMP0004,9,133.42,10.53
190,CMP0004,10,189.8,3.13
191,CMP0004,11,50.31,1.78
192,CMP0004,12,131.32,2.77
193,CMP0004,13,112.74,6.41
194,CMP0004,14,104.67,1.49
195,CMP0004,15,169.33,6.47
196,CMP0004,16,142.25,1.48
197,CMP0004,17,14.4,0.61
198,CMP0004,18,170.82,4.97
199,CMP0004,19,130.74,5.96
200,CMP0004,20,78.92,3.19
201,CMP0004,21,137.12,5.22
202,CMP0004,22,62.2,4.95
203,CMP0004,23,17.81,0.54
204,CMP0004,24,48.95,1.35
205,CMP0004,25,183.91,6.65
206,CMP0004,26,52.17,2.87
207,CMP0004,27,14.75,1.27
208,CMP0004,28,126.36,12.42
209,CMP0004,29,134.99,3.33
210,CMP0004,30,23.6,1.15
211,CMP0004,31,117.54,4.95
212,CMP0004,32,39.17,3.45
213,CMP0004,33,179.05,8.55
214,CMP0004,34,188.45,10.48
215,CMP0004,35,87.92,1.18
216,CMP0004,36,193.53,5.84
217,CMP0004,37,162.31,16.01
218,CMP0004,38,13.27,0.45
219,CMP0004,39,144.29,7.44
220,CMP0004,40,141.73,10.69
221,CMP0004,41,142.22,13.84
222,CMP0004,42,161.0,9.62
223,CMP0004,43,116.49,9.9
224,CMP0004,44,83.88,1.35
225,CMP0004,45,43.8,2.09
226,CMP0004,46,83.7,6.4
227,CMP0004,47,122.71,2.08
228,CMP0004,48,136.83,10.07
229,CMP0004,49,84.59,0.96
230,CMP0004,50,89.55,1.64
231,CMP0004,51,144.24,2.63
232,CMP0004,52,123.31,8.7
233,CMP0004,53,106.68,1.72
234,CMP0004,54,53.43,3.93
235,CMP0004,55,15.95,0.86
236,CMP0004,56,176.93,14.73
237,CMP0004,57,65.02,6.0
238,CMP0004,58,172.47,12.23
239,CMP0004,59,37.23,0.38
240,CMP0004,60,123.51,3.96
241,CMP0005,1,141.92,3.61
242,CMP0005,2,45.22,2.05
243,CMP0005,3,54.39,0.59
244,CMP0005,4,177.1,9.2
245,CMP0005,5,131.42,2.19
246,CMP0005,6,95.53,7.17
247,CMP0005,7,157.48,12.23
248,CMP0005,8,152.95,9.75
249,CMP0005,9,46.91,2.26
250,CMP0005,10,56.49,5.34
251,CMP0005,11,153.37,4.12
252,CMP0005,12,180.09,16.2
253,CMP0005,13,150.9,12.46
254,CMP0005,14,132.6,4.09
255,CMP0005,15,118.29,11.73
256,CMP0005,16,131.65,10.85
257,CMP0005,17,140.94,9.64
258,CMP0005,18,156.93,10.18
259,CMP0005,19,118.72,7.52
260,CMP0005,20,148.8,5.33
261,CMP0005,21,195.19,16.3
262,CMP0005,22,33.72,3.29
263,CMP0005,23,136.43,2.13
264,CMP0005,24,31.74,1.98
265,CMP0005,25,94.39,7.1
266,CMP0005,26,101.05,5.4
267,CMP0005,27,115.71,7.19
268,CMP0005,28,40.65,3.43
269,CMP0005,29,160.21,4.13
270,CMP0005,30,73.49,1.36
271,CMP0005,31,100.02,4.87
272,CMP0005,32,102.75,1.49
273,CMP0005,33,123.62,4.36
274,CMP0005,34,80.53,1.28
275,CMP0005,35,66.92,5.78
276,CMP0005,36,20.39,1.02
277,CMP0005,37,53.1,2.78
278,CMP0005,38,182.29,6.97
279,CMP0005,39,121.24,5.95
280,CMP0005,40,180.19,8.28
281,CMP0005,41,121.0,9.26
282,CMP0005,42,194.1,9.47
283,CMP0005,43,165.04,8.74
284,CMP0005,44,162.64,13.68
285,CMP0005,45,36.44,2.52
286,CMP0005,46,112.38,5.2
287,CMP0005,47,82.08,2.16
288,CMP0005,48,47.99,4.31
289,CMP0005,49,33.56,2.85
290,CMP0005,50,68.42,0.93
291,CMP0005,51,157.74,5.35
292,CMP0005,52,36.24,0.92
293,CMP0005,53,195.06,4.33
294,CMP0005,54,158.54,5.96
295,CMP0005,55,14.86,0.72
296,CMP0005,56,46.17,3.59
297,CMP0005,57,34.1,1.16
298,CMP0005,58,179.66,6.6
299,CMP0005,59,135.9,4.67
300,CMP0005,60,125.78,5.91
301,CMP0006,1,164.58,2.24
302,CMP0006,2,122.61,8.76
303,CMP0006,3,30.54,1.97
304,CMP0006,4,10.43,0.7
305,CMP0006,5,122.18,4.97
306,CMP0006,6,189.46,6.94
307,CMP0006,7,23.41,1.99
308,CMP0006,8,170.97,16.45
309,CMP0006,9,39.49,3.9
310,CMP0006,10,66.47,1.46
311,CMP0006,11,10.01,0.36
312,CMP0006,12,16.12,0.31
313,CMP0006,13,180.1,14.93
314,CMP0006,14,66.58,1.01
315,CMP0006,15,118.99,11.57
316,CMP0006,16,80.52,5.59
317,CMP0006,17,29.73,1.35
318,CMP0006,18,20.46,1.25
319,CMP0006,19,166.55,2.87
320,CMP0006,20,98.85,8.19
321,CMP0006,21,121.89,11.12
322,CMP0006,22,128.13,10.33
323,CMP0006,23,153.92,8.79
324,CMP0006,24,99.24,4.41
325,CMP0006,25,24.11,0.34
326,CMP0006,26,106.12,3.41
327,CMP0006,27,85.1,4.6
328,CMP0006,28,23.91,0.62
329,CMP0006,29,175.49,14.87
330,CMP0006,30,161.81,14.24
331,CMP0006,31,30.94,0.75
332,CMP0006,32,117.24,2.88
333,CMP0006,33,115.64,9.44
334,CMP0006,34,60.7,4.62
335,CMP0006,35,43.28,0.52
336,CMP0006,36,43.74,1.41
337,CMP0006,37,7.7,0.53
338,CMP0006,38,199.41,14.92
339,CMP0006,39,51.62,4.04
340,CMP0006,40,193.3,8.78
341,CMP0006,41,84.04,2.88
342,CMP0006,42,17.17,0.92
343,CMP0006,43,69.67,3.84
344,CMP0006,44,66.02,5.76
345,CMP0006,45,168.11,9.99
346,CMP0006,46,140.92,6.01
347,CMP0006,47,188.7,6.95
348,CMP0006,48,176.58,9.8
349,CMP0006,49,164.95,11.28
350,CMP0006,50,86.65,2.58
351,CMP0006,51,104.92,4.34
352,CMP0006,52,104.23,9.12
353,CMP0006,53,142.74,5.87
354,CMP0006,54,61.82,2.94
355,CMP0006,55,28.89,1.94
356,CMP0006,56,104.8,8.31
357,CMP0006,57,139.79,3.51
358,CMP0006,58,58.43,5.61
359,CMP0006,59,156.17,6.38
360,CMP0006,60,128.95,5.42
361,CMP0007,1,75.69,6.37
362,CMP0007,2,15.87,1.03
363,CMP0007,3,193.34,5.51
364,CMP0007,4,148.9,9.5
365,CMP0007,5,100.36,4.18
366,CMP0007,6,149.62,12.34
367,CMP0007,7,111.41,3.16
368,CMP0007,8,142.92,4.67
369,CMP0007,9,146.98,9.41
370,CMP0007,10,97.32,8.46
371,CMP0007,11,43.31,1.26
372,CMP0007,12,28.65,1.07
373,CMP0007,13,126.56,8.13
374,CMP0007,14,72.67,6.83
375,CMP0007,15,99.58,1.76
376,CMP0007,16,17.08,1.06
377,CMP0007,17,92.57,5.74
378,CMP0007,18,98.99,7.74
379,CMP0007,19,114.05,6.42
380,CMP0007,20,154.44,7.19
381,CMP0007,21,97.46,2.96
382,CMP0007,22,115.26,1.37
383,CMP0007,23,151.53,14.35
384,CMP0007,24,60.14,2.25
385,CMP0007,25,68.61,5.36
386,CMP0007,26,16.19,1.01
387,CMP0007,27,12.49,0.54
388,CMP0007,28,193.51,14.08
389,CMP0007,29,194.51,10.92
390,CMP0007,30,69.88,6.61
391,CMP0007,31,156.02,3.45
392,CMP0007,32,80.9,7.27
393,CMP0007,33,60.1,2.11
394,CMP0007,34,64.13,6.22
395,CMP0007,35,147.97,14.74
396,CMP0007,36,140.52,7.92
397,CMP0007,37,117.42,4.79
398,CMP0007,38,173.37,3.91
399,CMP0007,39,191.84,6.19
400,CMP0007,40,80.33,3.36
401,CMP0007,41,137.85,10.26
402,CMP0007,42,47.43,1.05
403,CMP0007,43,142.29,4.21
404,CMP0007,44,172.37,14.83
405,CMP0007,45,163.27,5.95
406,CMP0007,46,58.56,3.09
407,CMP0007,47,55.33,2.86
408,CMP0007,48,117.58,8.02
409,CMP0007,49,36.85,0.71
410,CMP0007,50,14.62,0.48
411,CMP0007,51,71.49,7.13
412,CMP0007,52,196.58,18.1
413,CMP0007,53,65.77,3.77
414,CMP0007,54,132.82,1.8
415,CMP0007,55,176.04,5.61
416,CMP0007,56,118.57,3.18
417,CMP0007,57,121.29,4.21
418,CMP0007,58,172.43,16.66
419,CMP0007,59,170.92,6.11
420,CMP0007,60,46.28,1.06
421,CMP0008,1,92.35,4.29
422,CMP0008,2,181.86,4.58
423,CMP0008,3,160.14,3.64
424,CMP0008,4,138.12,9.2
425,CMP0008,5,52.5,4.3
426,CMP0008,6,39.08,3.47
427,CMP0008,7,127.22,2.94
428,CMP0008,8,134.26,13.01
429,CMP0008,9,78.77,1.41
430,CMP0008,10,118.25,11.07
431,CMP0008,11,199.26,10.5
432,CMP0008,12,8.25,0.73
433,CMP0008,13,8.89,0.56
434,CMP0008,14,51.16,3.4
435,CMP0008,15,98.64,5.3
436,CMP0008,16,70.4,6.74
437,CMP0008,17,84.23,7.87
438,CMP0008,18,131.37,4.22
439,CMP0008,19,138.52,4.03
440,CMP0008,20,165.96,3.85
441,CMP0008,21,84.26,6.7
442,CMP0008,22,190.69,2.76
443,CMP0008,23,7.59,0.45
444,CMP0008,24,124.56,3.01
445,CMP0008,25,111.52,2.01
446,CMP0008,26,50.57,3.41
447,CMP0008,27,25.63,1.42
448,CMP0008,28,167.23,7.75
449,CMP0008,29,37.93,1.95
450,CMP0008,30,94.26,7.39
451,CMP0008,31,43.65,3.87
452,CMP0008,32,78.37,7.3
453,CMP0008,33,161.44,13.05
454,CMP0008,34,186.97,12.6
455,CMP0008,35,118.06,6.92
456,CMP0008,36,77.6,2.55
457,CMP0008,37,114.51,2.91
458,CMP0008,38,130.35,10.49
459,CMP0008,39,22.63,2.16
460,CMP0008,40,76.48,3.33
461,CMP0008,41,117.82,10.84
462,CMP0008,42,160.5,12.01
463,CMP0008,43,28.49,2.47
464,CMP0008,44,112.14,7.08
465,CMP0008,45,174.21,8.52
466,CMP0008,46,91.32,4.9
467,CMP0008,47,59.12,5.56
468,CMP0008,48,84.7,4.4
469,CMP0008,49,53.26,3.63
470,CMP0008,50,116.0,10.77
471,CMP0008,51,74.57,1.85
472,CMP0008,52,108.36,1.36
473,CMP0008,53,198.18,6.94
474,CMP0008,54,66.34,3.72
475,CMP0008,55,197.73,10.26
476,CMP0008,56,105.46,8.41
477,CMP0008,57,17.4,1.04
478,CMP0008,58,138.79,13.24
479,CMP0008,59,144.22,13.44
480,CMP0008,60,144.37,9.29
481,CMP0009,1,21.53,1.78
482,CMP0009,2,146.8,14.43
483,CMP0009,3,185.61,2.01
484,CMP0009,4,21.79,1.31
485,CMP0009,5,51.83,2.03
486,CMP0009,6,176.85,3.01
487,CMP0009,7,42.26,3.43
488,CMP0009,8,121.3,5.21
489,CMP0009,9,24.86,1.88
490,CMP0009,10,140.11,8.41
491,CMP0009,11,152.49,12.42
492,CMP0009,12,39.77,1.25
493,CMP0009,13,69.74,5.37
494,CMP0009,14,50.47,4.43
495,CMP0009,15,134.06,5.63
496,CMP0009,16,181.14,3.42
497,CMP0009,17,166.38,8.07
498,CMP0009,18,114.82,10.9
499,CMP0009,19,198.6,9.28
500,CMP0009,20,36.15,0.9
501,CMP0009,21,88.82,3.18
502,CMP0009,22,161.99,14.02
503,CMP0009,23,47.78,2.47
504,CMP0009,24,143.41,7.66
505,CMP0009,25,104.75,9.71
506,CMP0009,26,186.64,17.13
507,CMP0009,27,108.81,4.06
508,CMP0009,28,42.27,3.35
509,CMP0009,29,186.35,8.3
510,CMP0009,30,15.21,0.47
511,CMP0009,31,124.99,5.88
512,CMP0009,32,23.24,1.13
513,CMP0009,33,115.43,9.08
514,CMP0009,34,137.07,10.04
515,CMP0009,35,16.83,0.79
516,CMP0009,36,64.13,3.12
517,CMP0009,37,12.57,0.34
518,CMP0009,38,42.35,2.35
519,CMP0009,39,79.78,1.89
520,CMP0009,40,81.99,5.59
521,CMP0009,41,100.64,2.09
522,CMP0009,42,102.03,2.44
523,CMP0009,43,70.44,5.55
524,CMP0009,44,29.79,1.25
525,CMP0009,45,176.89,8.39
526,CMP0009,46,176.5,8.28
527,CMP0009,47,174.04,11.55
528,CMP0009,48,125.47,9.95
529,CMP0009,49,127.7,9.31
530,CMP0009,50,97.83,9.71
531,CMP0009,51,102.88,6.63
532,CMP0009,52,31.43,1.78
533,CMP0009,53,33.75,2.2
534,CMP0009,54,26.45,2.52
535,CMP0009,55,164.79,15.08
536,CMP0009,56,181.27,7.04
537,CMP0009,57,42.34,1.9
538,CMP0009,58,123.17,7.55
539,CMP0009,59,25.7,1.4
540,CMP0009,60,183.18,15.56
541,CMP0010,1,91.33,8.71
542,CMP0010,2,173.02,16.4
543,CMP0010,3,104.95,3.58
544,CMP0010,4,189.43,5.25
545,CMP0010,5,136.47,9.14
546,CMP0010,6,114.42,8.22
547,CMP0010,7,138.77,4.51
548,CMP0010,8,165.9,8.9
549,CMP0010,9,24.62,0.93
550,CMP0010,10,19.65,0.43
551,CMP0010,11,174.91,17.47
552,CMP0010,12,131.9,8.61
553,CMP0010,13,71.88,1.61
554,CMP0010,14,116.05,10.15
555,CMP0010,15,123.3,11.56
556,CMP0010,16,103.63,6.26
557,CMP0010,17,168.89,12.35
558,CMP0010,18,54.25,4.59
559,CMP0010,19,148.43,10.35
560,CMP0010,20,37.88,2.36
561,CMP0010,21,106.76,1.78
562,CMP0010,22,135.7,3.65
563,CMP0010,23,194.39,9.61
564,CMP0010,24,122.63,4.82
565,CMP0010,25,37.12,2.67
566,CMP0010,26,130.24,1.75
567,CMP0010,27,177.15,10.19
568,CMP0010,28,154.78,11.96
569,CMP0010,29,72.08,2.52
570,CMP0010,30,76.52,2.4
571,CMP0010,31,181.09,4.09
572,CMP0010,32,20.35,1.31
573,CMP0010,33,30.0,1.45
574,CMP0010,34,126.82,4.49
575,CMP0010,35,179.97,10.19
576,CMP0010,36,47.77,2.32
577,CMP0010,37,55.11,0.65
578,CMP0010,38,146.88,7.44
579,CMP0010,39,123.11,8.9
580,CMP0010,40,7.66,0.29
581,CMP0010,41,6.79,0.45
582,CMP0010,42,13.73,0.2
583,CMP0010,43,161.32,8.02
584,CMP0010,44,198.46,4.31
585,CMP0010,45,131.33,9.73
586,CMP0010,46,70.75,2.38
587,CMP0010,47,126.86,9.59
588,CMP0010,48,12.53,1.12
589,CMP0010,49,36.52,3.34
590,CMP0010,50,157.49,12.69
591,CMP0010,51,182.15,3.53
592,CMP0010,52,92.39,6.22
593,CMP0010,53,49.87,2.32
594,CMP0010,54,171.75,7.07
595,CMP0010,55,29.83,0.77
596,CMP0010,56,38.1,3.69
597,CMP0010,57,123.86,7.76
598,CMP0010,58,177.43,15.55
599,CMP0010,59,80.83,1.15
600,CMP0010,60,59.69,4.52
601,CMP0011,1,174.13,5.4
602,CMP0011,2,142.19,9.67
603,CMP0011,3,160.04,4.21
604,CMP0011,4,138.68,6.83
605,CMP0011,5,6.32,0.15
606,CMP0011,6,45.42,2.0
607,CMP0011,7,29.77,0.45
608,CMP0011,8,148.01,13.09
609,CMP0011,9,160.4,10.13
610,CMP0011,10,135.54,3.99
611,CMP0011,11,124.67,10.15
612,CMP0011,12,26.05,0.42
613,CMP0011,13,19.53,1.09
614,CMP0011,14,55.51,4.1
615,CMP0011,15,82.17,3.03
616,CMP0011,16,181.1,15.9
617,CMP0011,17,165.21,9.9
618,CMP0011,18,111.94,3.11
619,CMP0011,19,92.23,7.48
620,CMP0011,20,87.57,4.93
621,CMP0011,21,192.05,14.29
622,CMP0011,22,45.81,0.47
623,CMP0011,23,153.34,3.6
624,CMP0011,24,173.17,16.72
625,CMP0011,25,115.19,10.05
626,CMP0011,26,180.79,6.21
627,CMP0011,27,21.61,1.48
628,CMP0011,28,40.34,3.35
629,CMP0011,29,59.72,5.82
630,CMP0011,30,54.18,5.2
631,CMP0011,31,137.61,9.24
632,CMP0011,32,133.54,6.12
633,CMP0011,33,18.08,1.15
634,CMP0011,34,58.51,2.66
635,CMP0011,35,177.58,5.32
636,CMP0011,36,72.82,4.14
637,CMP0011,37,86.54,7.96
638,CMP0011,38,173.16,6.15
639,CMP0011,39,166.3,8.02
640,CMP0011,40,118.85,5.16
641,CMP0011,41,142.87,3.71
642,CMP0011,42,33.05,0.36
643,CMP0011,43,56.44,0.63
644,CMP0011,44,103.13,1.66
645,CMP0011,45,66.08,5.14
646,CMP0011,46,93.56,4.18
647,CMP0011,47,34.16,0.66
648,CMP0011,48,135.92,7.76
649,CMP0011,49,189.81,4.06
650,CMP0011,50,147.79,2.65
651,CMP0011,51,153.9,5.12
652,CMP0011,52,143.32,8.99
653,CMP0011,53,71.89,3.38
654,CMP0011,54,147.83,13.89
655,CMP0011,55,116.99,7.72
656,CMP0011,56,31.13,2.19
657,CMP0011,57,163.03,11.75
658,CMP0011,58,117.82,1.97
659,CMP0011,59,147.8,11.81
660,CMP0011,60,166.47,4.02
661,CMP0012,1,22.16,2.0
662,CMP0012,2,117.51,4.08
663,CMP0012,3,92.85,1.03
664,CMP0012,4,113.09,4.48
665,CMP0012,5,164.51,10.35
666,CMP0012,6,71.41,2.65
667,CMP0012,7,105.94,4.7
668,CMP0012,8,169.99,12.96
669,CMP0012,9,164.73,9.76
670,CMP0012,10,81.58,4.52
671,CMP0012,11,157.92,12.43
672,CMP0012,12,124.37,6.09
673,CMP0012,13,31.41,1.14
674,CMP0012,14,197.27,18.62
675,CMP0012,15,52.7,4.07
676,CMP0012,16,104.74,7.97
677,CMP0012,17,186.87,12.04
678,CMP0012,18,171.8,2.21
679,CMP0012,19,141.91,10.63
680,CMP0012,20,97.89,9.2
681,CMP0012,21,170.08,3.65
682,CMP0012,22,28.9,2.7
683,CMP0012,23,101.04,9.33
684,CMP0012,24,37.97,3.03
685,CMP0012,25,65.4,3.73
686,CMP0012,26,147.8,9.6
687,CMP0012,27,188.97,3.56
688,CMP0012,28,73.22,5.4
689,CMP0012,29,40.56,3.85
690,CMP0012,30,195.32,7.41
691,CMP0012,31,175.9,4.95
692,CMP0012,32,103.51,5.98
693,CMP0012,33,7.31,0.27
694,CMP0012,34,146.76,6.46
695,CMP0012,35,50.29,2.92
696,CMP0012,36,105.9,9.87
697,CMP0012,37,141.72,5.12
698,CMP0012,38,144.63,5.65
699,CMP0012,39,138.32,1.63
700,CMP0012,40,45.36,4.2
701,CMP0012,41,6.1,0.16
702,CMP0012,42,46.87,2.65
703,CMP0012,43,19.79,1.44
704,CMP0012,44,94.83,8.55
705,CMP0012,45,11.59,0.73
706,CMP0012,46,129.31,8.8
707,CMP0012,47,126.06,11.37
708,CMP0012,48,48.12,1.67
709,CMP0012,49,149.1,6.82
710,CMP0012,50,148.76,10.86
711,CMP0012,51,80.98,6.21
712,CMP0012,52,43.79,4.13
713,CMP0012,53,120.02,3.37
714,CMP0012,54,12.65,0.47
715,CMP0012,55,189.87,3.07
716,CMP0012,56,167.94,16.3
717,CMP0012,57,144.55,11.85
718,CMP0012,58,102.28,3.0
719,CMP0012,59,41.3,0.88
720,CMP0012,60,138.38,4.69
721,CMP0013,1,52.33,5.19
722,CMP0013,2,40.18,3.17
723,CMP0013,3,110.76,8.77
724,CMP0013,4,186.42,15.03
725,CMP0013,5,191.64,13.93
726,CMP0013,6,109.64,8.71
727,CMP0013,7,62.34,4.61
728,CMP0013,8,98.87,1.69
729,CMP0013,9,182.61,4.7
730,CMP0013,10,115.32,4.95
731,CMP0013,11,147.27,2.8
732,CMP0013,12,5.05,0.13
733,CMP0013,13,108.72,1.99
734,CMP0013,14,151.1,14.27
735,CMP0013,15,80.49,2.63
736,CMP0013,16,115.26,8.57
737,CMP0013,17,190.37,12.77
738,CMP0013,18,68.4,3.58
739,CMP0013,19,97.94,8.61
740,CMP0013,20,51.82,0.99
741,CMP0013,21,176.18,15.95
742,CMP0013,22,5.18,0.4
743,CMP0013,23,55.34,0.74
744,CMP0013,24,64.23,6.32
745,CMP0013,25,144.65,6.87
746,CMP0013,26,37.79,3.68
747,CMP0013,27,142.36,7.73
748,CMP0013,28,170.12,10.9
749,CMP0013,29,185.3,8.48
750,CMP0013,30,86.33,2.64
751,CMP0013,31,102.14,5.23
752,CMP0013,32,96.75,4.35
753,CMP0013,33,49.25,4.61
754,CMP0013,34,37.6,0.47
755,CMP0013,35,137.39,10.34
756,CMP0013,36,97.38,7.98
757,CMP0013,37,36.21,2.93
758,CMP0013,38,137.62,9.66
759,CMP0013,39,184.84,9.84
760,CMP0013,40,6.41,0.25
761,CMP0013,41,182.07,5.68
762,CMP0013,42,42.21,2.52
763,CMP0013,43,22.36,1.62
764,CMP0013,44,89.75,4.84
765,CMP0013,45,24.57,1.65
766,CMP0013,46,181.37,10.03
767,CMP0013,47,179.22,4.92
768,CMP0013,48,131.3,7.25
769,CMP0013,49,159.77,12.89
770,CMP0013,50,68.84,5.53
771,CMP0013,51,60.99,3.36
772,CMP0013,52,198.79,15.03
773,CMP0013,53,194.94,17.94
774,CMP0013,54,89.91,3.28
