ESGID,CompanyID,PeriodID,EnvironmentalScore,SocialScore,GovernanceScore
50,CMP0001,50,91.93,79.02,45.47
51,CMP0001,51,70.46,44.54,36.89
52,CMP0001,52,99.4,49.34,78.59
53,CMP0001,53,47.46,73.85,86.3
54,CMP0001,54,88.87,69.91,61.38
55,CMP0001,55,53.93,83.97,53.03
56,CMP0001,56,87.32,39.1,48.7
57,CMP0001,57,47.65,53.84,77.84
58,CMP0001,58,94.51,65.0,54.05
59,CMP0001,59,81.8,85.35,72.43
60,CMP0001,60,90.33,37.48,85.25
61,CMP0002,1,72.24,85.19,50.78
62,CMP0002,2,61.74,64.84,67.94
63,CMP0002,3,52.59,83.88,42.31
64,CMP0002,4,73.58,39.31,40.92
65,CMP0002,5,41.63,43.32,43.86
66,CMP0002,6,91.34,79.81,53.83
67,CMP0002,7,75.42,46.08,67.45
68,CMP0002,8,87.99,55.51,31.35
69,CMP0002,9,41.1,84.86,37.07
70,CMP0002,10,75.84,66.03,69.9
71,CMP0002,11,54.72,53.36,47.32
72,CMP0002,12,55.74,65.7,33.09
73,CMP0002,13,54.78,79.15,77.96
74,CMP0002,14,72.51,82.38,73.93
75,CMP0002,15,82.33,85.51,40.83
76,CMP0002,16,90.67,49.15,79.73
77,CMP0002,17,59.13,67.55,83.16
78,CMP0002,18,64.12,58.79,67.65
79,CMP0002,19,57.78,44.02,32.53
80,CMP0002,20,92.75,86.68,58.04
81,CMP0002,21,86.78,51.01,33.47
82,CMP0002,22,72.22,65.58,64.81
83,CMP0002,23,83.41,59.75,34.86
84,CMP0002,24,73.94,46.02,82.72
85,CMP0002,25,49.52,82.85,82.31
86,CMP0002,26,57.22,67.02,88.87
87,CMP0002,27,77.96,85.92,36.15
88,CMP0002,28,92.29,88.41,88.13
89,CMP0002,29,65.57,57.08,39.82
90,CMP0002,30,96.62,55.18,68.31
91,CMP0002,31,91.86,58.39,88.09
92,CMP0002,32,77.0,77.79,58.89
93,CMP0002,33,58.62,57.31,30.7
94,CMP0002,34,46.3,44.52,89.2
95,CMP0002,35,41.99,34.71,53.82
96,CMP0002,36,96.17,33.12,62.48
97,CMP0002,37,67.14,68.61,61.58
98,CMP0002,38,87.38,69.52,59.89
99,CMP0002,39,92.1,73.63,74.56
100,CMP0002,40,65.3,46.61,65.54
101,CMP0002,41,98.28,40.86,81.26
102,CMP0002,42,55.49,69.4,49.51
103,CMP0002,43,65.85,44.92,67.03
104,CMP0002,44,46.72,46.18,33.43
105,CMP0002,45,99.2,87.91,30.3
106,CMP0002,46,82.28,42.11,70.41
107,CMP0002,47,69.83,67.07,82.13
108,CMP0002,48,79.47,89.96,32.89
109,CMP0002,49,88.47,75.74,77.87
110,CMP0002,50,66.92,44.25,52.4
111,CMP0002,51,41.54,50.47,52.81
112,CMP0002,52,40.45,68.85,83.88
113,CMP0002,53,88.18,62.35,48.68
114,CMP0002,54,46.41,64.04,45.39
115,CMP0002,55,53.68,42.72,66.66
116,CMP0002,56,45.73,67.43,57.11
117,CMP0002,57,53.92,53.45,65.67
118,CMP0002,58,46.25,73.46,64.7
119,CMP0002,59,54.02,62.4,82.8
120,CMP0002,60,43.61,63.74,87.46
121,CMP0003,1,95.63,44.08,53.96
122,CMP0003,2,89.56,76.92,72.52
123,CMP0003,3,76.04,60.94,85.16
124,CMP0003,4,58.28,34.86,54.18
125,CMP0003,5,76.38,75.89,40.49
126,CMP0003,6,65.95,48.71,60.37
127,CMP0003,7,43.49,89.69,33.47
128,CMP0003,8,76.91,48.38,67.43
129,CMP0003,9,86.16,30.66,54.97
130,CMP0003,10,88.09,87.57,59.27
131,CMP0003,11,67.57,77.1,83.53
132,CMP0003,12,78.23,69.56,83.71
133,CMP0003,13,82.98,34.33,34.28
134,CMP0003,14,45.9,69.62,75.86
135,CMP0003,15,78.63,61.82,32.52
136,CMP0003,16,60.3,85.69,43.48
137,CMP0003,17,57.15,78.96,81.68
138,CMP0003,18,72.7,89.08,86.24
139,CMP0003,19,75.42,60.5,47.85
140,CMP0003,20,99.51,35.95,54.09
141,CMP0003,21,85.66,32.12,74.74
142,CMP0003,22,83.32,83.17,65.58
143,CMP0003,23,74.8,63.69,63.64
144,CMP0003,24,82.46,77.32,61.04
145,CMP0003,25,78.55,55.27,68.17
146,CMP0003,26,41.57,31.45,79.9
147,CMP0003,27,48.01,34.84,73.68
148,CMP0003,28,44.14,33.42,46.93
149,CMP0003,29,42.02,33.76,84.39
150,CMP0003,30,43.14,55.13,45.61
151,CMP0003,31,46.85,39.07,43.52
152,CMP0003,32,44.9,57.5,59.08
153,CMP0003,33,88.38,57.55,33.12
154,CMP0003,34,92.23,44.33,57.07
155,CMP0003,35,89.33,52.83,76.54
156,CMP0003,36,71.98,39.48,71.75
157,CMP0003,37,79.26,39.13,56.42
158,CMP0003,38,49.96,82.92,55.65
159,CMP0003,39,89.14,62.45,72.61
160,CMP0003,40,89.56,36.04,44.39
161,CMP0003,41,78.05,37.58,70.57
162,CMP0003,42,70.76,48.32,42.76
163,CMP0003,43,46.66,56.82,57.62
164,CMP0003,44,94.65,75.24,78.29
165,CMP0003,45,45.79,44.51,30.74
166,CMP0003,46,75.59,83.54,41.12
167,CMP0003,47,75.94,36.9,35.63
168,CMP0003,48,76.12,83.55,56.6
169,CMP0003,49,97.03,66.04,74.62
170,CMP0003,50,59.88,58.92,41.77
171,CMP0003,51,88.16,64.32,60.76
172,CMP0003,52,82.14,89.57,37.89
173,CMP0003,53,89.27,30.09,68.18
174,CMP0003,54,65.14,75.07,34.26
175,CMP0003,55,76.75,82.42,73.44
176,CMP0003,56,42.62,37.38,63.52
177,CMP0003,57,66.79,77.9,79.35
178,CMP0003,58,50.01,55.83,38.56
179,CMP0003,59,80.63,66.35,51.88
180,CMP0003,60,42.34,31.86,53.28
181,CMP0004,1,76.18,79.6,89.04
182,CMP0004,2,90.02,56.43,48.14
183,CMP0004,3,66.64,67.57,59.33
184,CMP0004,4,72.58,43.66,87.84
185,CMP0004,5,67.76,88.86,59.0
186,CMP0004,6,91.93,88.84,54.46
187,CMP0004,7,77.6,85.58,31.15
188,CMP0004,8,97.45,30.53,89.87
189,CMP0004,9,90.76,66.82,35.32
190,CMP0004,10,97.31,61.35,47.97
191,CMP0004,11,88.21,85.75,54.31
192,CMP0004,12,93.32,60.19,56.96
193,CMP0004,13,48.57,76.52,46.28
194,CMP0004,14,56.57,72.42,33.76
195,CMP0004,15,87.34,83.51,56.03
196,CMP0004,16,50.02,72.78,69.98
197,CMP0004,17,97.41,60.02,55.96
198,CMP0004,18,79.44,58.34,82.81
199,CMP0004,19,82.79,41.95,83.41
200,CMP0004,20,41.16,37.46,54.82
201,CMP0004,21,86.44,76.38,61.28
202,CMP0004,22,71.08,50.89,52.3
203,CMP0004,23,54.8,59.04,74.85
204,CMP0004,24,48.45,67.34,76.88
205,CMP0004,25,68.2,83.41,72.46
206,CMP0004,26,80.78,34.57,46.48
207,CMP0004,27,98.87,77.59,81.23
208,CMP0004,28,51.41,77.56,84.47
209,CMP0004,29,73.91,76.3,59.93
210,CMP0004,30,41.75,58.85,69.75
211,CMP0004,31,87.25,45.06,63.84
212,CMP0004,32,56.95,87.03,64.9
213,CMP0004,33,86.82,58.58,59.85
214,CMP0004,34,64.56,78.65,80.15
215,CMP0004,35,47.67,75.93,30.0
216,CMP0004,36,79.78,74.51,80.91
217,CMP0004,37,85.25,53.59,65.44
218,CMP0004,38,76.09,47.79,72.87
219,CMP0004,39,95.26,71.68,73.74
220,CMP0004,40,73.72,86.83,59.78
221,CMP0004,41,66.26,44.1,72.29
222,CMP0004,42,63.79,37.9,81.92
223,CMP0004,43,94.37,30.73,70.44
224,CMP0004,44,87.03,47.15,55.97
225,CMP0004,45,85.06,36.08,46.67
226,CMP0004,46,82.27,55.36,50.79
227,CMP0004,47,44.54,87.09,47.84
228,CMP0004,48,76.6,48.77,46.27
229,CMP0004,49,74.98,45.19,57.02
230,CMP0004,50,84.9,84.87,56.04
231,CMP0004,51,51.96,82.65,74.32
232,CMP0004,52,44.87,87.09,80.31
233,CMP0004,53,62.27,85.25,65.07
234,CMP0004,54,65.66,56.55,68.96
235,CMP0004,55,95.63,36.32,75.87
236,CMP0004,56,81.11,36.63,47.35
237,CMP0004,57,97.17,49.6,51.27
238,CMP0004,58,90.27,81.53,74.9
239,CMP0004,59,83.12,73.94,60.9
240,CMP0004,60,43.46,53.46,44.05
241,CMP0005,1,70.01,54.72,82.23
242,CMP0005,2,93.74,42.26,60.47
243,CMP0005,3,83.41,62.14,80.17
244,CMP0005,4,44.54,53.27,78.21
245,CMP0005,5,62.53,78.23,56.01
246,CMP0005,6,79.4,72.53,30.5
247,CMP0005,7,88.18,61.08,38.42
248,CMP0005,8,79.25,83.35,64.73
249,CMP0005,9,94.47,60.42,41.28
250,CMP0005,10,78.18,49.47,46.17
251,CMP0005,11,45.3,71.94,52.1
252,CMP0005,12,59.52,84.06,89.77
253,CMP0005,13,91.48,89.86,44.49
254,CMP0005,14,40.86,75.86,67.42
255,CMP0005,15,85.4,56.54,72.44
256,CMP0005,16,82.91,65.59,33.2
257,CMP0005,17,56.52,39.37,68.16
258,CMP0005,18,81.98,80.29,78.17
259,CMP0005,19,61.3,33.12,31.9
260,CMP0005,20,88.16,89.83,31.8
261,CMP0005,21,91.15,86.28,35.11
262,CMP0005,22,85.56,88.07,56.38
263,CMP0005,23,52.63,78.54,38.82
264,CMP0005,24,70.33,38.64,67.44
265,CMP0005,25,74.46,70.03,76.62
266,CMP0005,26,90.29,51.68,81.59
267,CMP0005,27,69.38,68.68,43.79
268,CMP0005,28,57.14,85.63,88.2
269,CMP0005,29,80.37,43.23,43.09
270,CMP0005,30,69.17,85.24,32.4
271,CMP0005,31,75.81,89.97,76.17
272,CMP0005,32,42.09,63.07,56.29
273,CMP0005,33,50.41,52.79,78.09
274,CMP0005,34,41.15,79.61,61.48
275,CMP0005,35,96.83,83.09,74.34
276,CMP0005,36,55.66,50.6,80.07
277,CMP0005,37,79.71,75.07,75.23
278,CMP0005,38,81.46,46.3,41.44
279,CMP0005,39,49.86,36.99,62.8
280,CMP0005,40,59.61,30.65,79.59
281,CMP0005,41,41.95,69.52,61.94
282,CMP0005,42,60.85,33.02,33.17
283,CMP0005,43,61.05,51.75,78.34
284,CMP0005,44,63.08,57.55,48.2
285,CMP0005,45,98.27,63.73,72.89
286,CMP0005,46,90.02,78.88,66.71
287,CMP0005,47,49.41,79.64,32.51
288,CMP0005,48,96.06,84.99,68.12
289,CMP0005,49,72.42,80.68,55.88
290,CMP0005,50,56.32,30.38,88.7
291,CMP0005,51,99.42,31.55,66.21
292,CMP0005,52,65.09,75.44,83.88
293,CMP0005,53,53.89,82.1,85.59
294,CMP0005,54,42.42,65.3,53.86
295,CMP0005,55,89.94,78.34,43.46
296,CMP0005,56,43.08,59.55,56.53
297,CMP0005,57,61.66,54.51,70.78
298,CMP0005,58,53.8,54.68,44.43
299,CMP0005,59,44.87,89.55,39.37
300,CMP0005,60,65.65,49.82,63.85
301,CMP0006,1,93.39,89.52,47.64
302,CMP0006,2,74.52,55.74,46.56
303,CMP0006,3,90.97,32.7,74.05
304,CMP0006,4,65.58,62.89,40.48
305,CMP0006,5,95.04,54.4,38.6
306,CMP0006,6,40.07,46.32,43.07
307,CMP0006,7,95.1,68.99,36.21
308,CMP0006,8,73.94,60.87,35.1
309,CMP0006,9,66.65,61.91,82.42
310,CMP0006,10,77.94,37.7,64.71
311,CMP0006,11,66.58,67.03,81.0
312,CMP0006,12,75.14,62.66,44.02
313,CMP0006,13,74.99,73.81,51.89
314,CMP0006,14,85.99,72.13,49.88
315,CMP0006,15,62.67,33.72,50.36
316,CMP0006,16,66.52,68.89,33.69
317,CMP0006,17,49.76,74.06,42.53
318,CMP0006,18,94.48,53.78,47.78
319,CMP0006,19,68.61,67.81,79.72
320,CMP0006,20,97.03,31.32,88.95
321,CMP0006,21,62.99,42.98,56.55
322,CMP0006,22,75.91,54.85,87.48
323,CMP0006,23,53.61,69.99,34.81
324,CMP0006,24,90.35,38.72,60.34
325,CMP0006,25,51.12,62.48,68.73
326,CMP0006,26,61.49,89.37,71.06
327,CMP0006,27,64.93,31.44,50.12
328,CMP0006,28,87.85,70.65,62.82
329,CMP0006,29,53.48,53.96,54.58
330,CMP0006,30,43.58,71.52,38.4
331,CMP0006,31,96.96,82.78,84.42
332,CMP0006,32,68.3,63.21,64.22
333,CMP0006,33,84.1,66.61,59.29
334,CMP0006,34,41.44,65.09,86.49
335,CMP0006,35,91.7,64.63,83.44
336,CMP0006,36,58.38,63.31,65.28
337,CMP0006,37,80.13,77.92,85.97
338,CMP0006,38,57.23,82.79,32.95
339,CMP0006,39,85.6,48.76,54.64
340,CMP0006,40,47.84,70.3,73.76
341,CMP0006,41,51.92,77.0,84.56
342,CMP0006,42,46.54,44.91,49.02
343,CMP0006,43,78.74,60.63,37.2
344,CMP0006,44,47.9,72.3,74.52
345,CMP0006,45,51.35,73.22,60.67
346,CMP0006,46,92.76,73.52,36.76
347,CMP0006,47,86.53,53.59,38.36
348,CMP0006,48,70.47,38.3,88.96
349,CMP0006,49,65.14,57.48,45.4
350,CMP0006,50,40.01,84.9,80.63
351,CMP0006,51,62.49,67.28,73.12
352,CMP0006,52,91.96,30.59,76.68
353,CMP0006,53,40.42,54.21,44.09
354,CMP0006,54,62.61,82.55,84.32
355,CMP0006,55,47.43,34.23,84.57
356,CMP0006,56,96.09,84.55,79.18
357,CMP0006,57,58.62,60.2,77.79
358,CMP0006,58,97.22,51.14,32.59
359,CMP0006,59,77.66,41.52,38.76
360,CMP0006,60,48.91,65.79,78.86
361,CMP0007,1,52.25,58.14,78.06
362,CMP0007,2,54.45,53.21,34.83
363,CMP0007,3,84.49,62.8,83.07
364,CMP0007,4,92.85,32.98,45.42
365,CMP0007,5,94.57,64.14,75.73
366,CMP0007,6,90.7,53.7,33.08
367,CMP0007,7,57.51,74.92,58.96
368,CMP0007,8,66.8,37.41,42.36
369,CMP0007,9,83.88,76.18,88.52
370,CMP0007,10,60.4,82.18,35.29
371,CMP0007,11,42.49,49.32,63.58
372,CMP0007,12,71.95,63.86,66.03
373,CMP0007,13,69.39,61.72,50.07
374,CMP0007,14,95.36,60.14,49.67
375,CMP0007,15,98.35,61.08,66.85
376,CMP0007,16,47.15,32.19,33.16
377,CMP0007,17,74.25,49.95,48.93
378,CMP0007,18,56.92,49.08,85.48
379,CMP0007,19,45.97,30.96,87.82
380,CMP0007,20,92.79,68.92,83.95
381,CMP0007,21,77.0,32.42,49.57
382,CMP0007,22,42.07,56.75,79.0
383,CMP0007,23,80.6,51.8,86.29
384,CMP0007,24,98.98,68.57,73.06
385,CMP0007,25,63.63,66.49,56.67
386,CMP0007,26,93.06,39.1,65.87
387,CMP0007,27,98.74,55.24,60.12
388,CMP0007,28,44.99,81.78,58.83
389,CMP0007,29,57.45,58.16,81.47
390,CMP0007,30,60.58,89.29,59.11
391,CMP0007,31,68.06,66.35,55.7
392,CMP0007,32,93.64,50.15,66.9
393,CMP0007,33,64.3,89.93,33.3
394,CMP0007,34,96.68,50.09,64.25
395,CMP0007,35,57.25,62.29,62.0
396,CMP0007,36,99.42,66.68,52.26
397,CMP0007,37,88.6,44.3,43.46
398,CMP0007,38,74.15,82.08,64.99
399,CMP0007,39,60.88,83.73,88.0
400,CMP0007,40,58.94,59.46,49.24
401,CMP0007,41,76.44,35.31,70.61
402,CMP0007,42,97.2,34.36,41.95
403,CMP0007,43,62.0,53.46,88.59
404,CMP0007,44,61.58,71.23,48.77
405,CMP0007,45,66.78,73.62,71.58
406,CMP0007,46,60.03,64.76,83.34
407,CMP0007,47,48.0,85.66,82.06
408,CMP0007,48,67.5,61.72,32.06
409,CMP0007,49,48.73,82.63,61.69
410,CMP0007,50,48.14,45.6,53.1
411,CMP0007,51,55.81,46.75,85.84
412,CMP0007,52,66.35,32.4,51.74
413,CMP0007,53,43.96,88.35,51.6
414,CMP0007,54,75.86,82.18,83.45
415,CMP0007,55,73.03,41.55,36.11
416,CMP0007,56,51.29,41.05,33.42
417,CMP0007,57,41.6,74.11,67.54
418,CMP0007,58,77.7,41.05,36.34
419,CMP0007,59,78.43,48.85,87.48
420,CMP0007,60,85.54,60.04,84.71
421,CMP0008,1,99.05,47.53,47.69
422,CMP0008,2,98.1,57.17,86.74
423,CMP0008,3,47.82,68.61,41.83
424,CMP0008,4,55.97,32.34,57.33
425,CMP0008,5,46.42,76.84,84.61
426,CMP0008,6,84.25,45.17,34.04
427,CMP0008,7,89.38,44.1,69.14
428,CMP0008,8,94.95,60.17,77.71
429,CMP0008,9,60.53,88.88,67.78
430,CMP0008,10,69.8,80.58,56.75
431,CMP0008,11,88.96,55.92,77.78
432,CMP0008,12,54.19,42.69,74.16
433,CMP0008,13,67.32,61.08,30.45
434,CMP0008,14,89.8,54.94,45.5
435,CMP0008,15,73.95,85.01,78.05
436,CMP0008,16,71.98,67.89,62.58
437,CMP0008,17,82.63,55.14,61.04
438,CMP0008,18,83.05,76.61,70.41
439,CMP0008,19,54.34,46.88,54.67
440,CMP0008,20,49.58,77.4,66.98
441,CMP0008,21,69.03,83.85,84.47
442,CMP0008,22,48.99,62.25,64.55
443,CMP0008,23,67.57,59.94,34.33
444,CMP0008,24,97.74,61.1,34.37
445,CMP0008,25,65.08,81.2,81.37
446,CMP0008,26,54.14,72.82,82.42
447,CMP0008,27,88.88,86.17,60.81
448,CMP0008,28,60.0,59.52,64.37
449,CMP0008,29,58.43,32.11,49.39
450,CMP0008,30,52.36,72.56,31.27
451,CMP0008,31,61.15,73.36,49.15
452,CMP0008,32,72.69,46.18,72.14
453,CMP0008,33,70.58,48.0,39.08
454,CMP0008,34,88.11,57.98,51.7
455,CMP0008,35,43.02,33.77,41.24
456,CMP0008,36,69.34,54.44,89.19
457,CMP0008,37,51.86,49.13,65.61
458,CMP0008,38,96.25,71.52,39.35
459,CMP0008,39,55.51,50.23,54.14
460,CMP0008,40,49.08,77.91,72.43
461,CMP0008,41,73.25,40.47,52.72
462,CMP0008,42,45.17,57.83,40.44
463,CMP0008,43,49.4,88.49,80.55
464,CMP0008,44,79.16,45.34,51.87
465,CMP0008,45,98.0,57.13,38.57
466,CMP0008,46,86.67,52.94,56.59
467,CMP0008,47,83.41,64.63,68.86
468,CMP0008,48,43.16,32.25,73.03
469,CMP0008,49,79.06,79.47,55.06
470,CMP0008,50,98.11,62.43,57.49
471,CMP0008,51,70.22,79.81,69.84
472,CMP0008,52,54.8,57.58,67.71
473,CMP0008,53,69.89,49.77,56.44
474,CMP0008,54,96.44,32.87,51.13
475,CMP0008,55,43.49,45.74,56.16
476,CMP0008,56,73.73,63.16,36.88
477,CMP0008,57,90.47,89.81,55.82
478,CMP0008,58,56.08,78.69,33.32
479,CMP0008,59,71.03,37.02,61.69
480,CMP0008,60,57.94,54.65,43.06
481,CMP0009,1,86.29,84.91,81.27
482,CMP0009,2,49.34,43.54,42.71
483,CMP0009,3,44.52,45.02,70.16
484,CMP0009,4,70.17,38.67,56.52
485,CMP0009,5,51.03,64.62,39.29
486,CMP0009,6,82.41,85.2,46.24
487,CMP0009,7,67.24,48.1,53.04
488,CMP0009,8,88.43,61.4,37.0
489,CMP0009,9,51.98,52.28,60.1
490,CMP0009,10,81.97,54.72,38.3
491,CMP0009,11,69.68,83.68,46.06
492,CMP0009,12,65.08,45.07,49.23
493,CMP0009,13,49.12,37.82,50.74
494,CMP0009,14,58.56,71.65,30.97
495,CMP0009,15,88.53,47.68,64.27
496,CMP0009,16,53.92,72.53,79.42
497,CMP0009,17,75.76,35.38,50.24
498,CMP0009,18,40.23,44.29,86.31
499,CMP0009,19,57.24,63.47,48.26
500,CMP0009,20,57.11,77.57,84.35
501,CMP0009,21,84.21,57.2,89.36
502,CMP0009,22,73.03,79.55,48.21
503,CMP0009,23,66.0,77.98,74.37
504,CMP0009,24,71.22,88.51,87.95
505,CMP0009,25,94.25,39.39,52.0
506,CMP0009,26,86.88,31.16,49.62
507,CMP0009,27,63.57,40.78,64.68
508,CMP0009,28,55.94,76.03,42.35
509,CMP0009,29,69.5,83.77,78.4
510,CMP0009,30,88.11,81.09,58.98
511,CMP0009,31,96.06,32.91,42.62
512,CMP0009,32,47.73,86.86,58.51
513,CMP0009,33,48.19,43.72,82.95
514,CMP0009,34,97.36,61.88,53.98
515,CMP0009,35,72.8,56.16,74.92
516,CMP0009,36,68.24,39.44,31.86
517,CMP0009,37,89.87,76.01,51.04
518,CMP0009,38,91.94,44.48,34.71
519,CMP0009,39,80.0,47.06,65.15
520,CMP0009,40,49.04,85.96,52.98
521,CMP0009,41,88.16,44.82,83.98
522,CMP0009,42,50.98,51.9,55.95
523,CMP0009,43,65.97,59.05,68.89
524,CMP0009,44,75.55,80.13,32.62
525,CMP0009,45,83.22,85.1,54.48
526,CMP0009,46,68.92,34.23,46.69
527,CMP0009,47,80.14,37.58,86.75
528,CMP0009,48,46.24,87.74,83.41
529,CMP0009,49,82.67,33.12,81.58
530,CMP0009,50,86.23,42.63,60.09
531,CMP0009,51,73.59,59.18,60.3
532,CMP0009,52,46.76,86.04,41.01
533,CMP0009,53,73.94,72.88,86.26
534,CMP0009,54,65.4,30.56,56.54
535,CMP0009,55,47.19,61.92,47.07
536,CMP0009,56,73.14,33.03,32.63
537,CMP0009,57,69.09,51.3,49.24
538,CMP0009,58,43.21,38.43,67.35
539,CMP0009,59,49.64,88.7,39.51
540,CMP0009,60,57.85,77.36,31.87
541,CMP0010,1,54.76,61.93,58.94
542,CMP0010,2,71.11,51.14,44.04
543,CMP0010,3,67.3,58.25,72.4
544,CMP0010,4,92.52,72.27,57.23
545,CMP0010,5,45.97,66.25,37.26
546,CMP0010,6,59.53,35.68,88.55
547,CMP0010,7,43.94,71.44,64.34
548,CMP0010,8,72.6,48.29,40.91
549,CMP0010,9,79.82,69.95,47.17
550,CMP0010,10,78.69,50.38,72.48
551,CMP0010,11,76.47,54.28,43.51
552,CMP0010,12,60.05,79.07,32.3
553,CMP0010,13,66.37,59.78,54.22
554,CMP0010,14,44.7,34.35,81.02
555,CMP0010,15,90.22,89.73,31.35
556,CMP0010,16,83.72,51.29,66.76
557,CMP0010,17,87.34,51.06,54.28
558,CMP0010,18,82.24,86.74,54.54
559,CMP0010,19,46.8,73.24,60.02
560,CMP0010,20,82.86,85.0,72.33
561,CMP0010,21,51.52,80.4,73.49
562,CMP0010,22,77.49,50.19,42.67
563,CMP0010,23,91.66,63.95,39.43
564,CMP0010,24,99.02,70.04,32.63
565,CMP0010,25,70.87,42.01,49.18
566,CMP0010,26,77.29,76.67,60.02
567,CMP0010,27,71.06,64.67,74.96
568,CMP0010,28,58.7,48.37,80.27
569,CMP0010,29,99.8,75.05,68.68
570,CMP0010,30,66.84,34.34,87.25
571,CMP0010,31,45.77,55.47,86.02
572,CMP0010,32,49.84,74.16,48.07
573,CMP0010,33,54.83,74.9,45.72
574,CMP0010,34,62.68,36.18,73.14
575,CMP0010,35,67.33,31.85,82.75
576,CMP0010,36,79.14,73.63,30.04
577,CMP0010,37,53.39,33.39,36.2
578,CMP0010,38,91.4,86.65,50.16
579,CMP0010,39,62.98,82.15,64.1
580,CMP0010,40,81.88,77.42,47.75
581,CMP0010,41,58.98,88.39,41.62
582,CMP0010,42,67.43,62.98,83.27
583,CMP0010,43,69.44,80.93,72.36
584,CMP0010,44,87.76,53.69,59.53
585,CMP0010,45,50.71,34.78,86.42
586,CMP0010,46,47.31,60.59,65.12
587,CMP0010,47,95.91,46.73,87.01
588,CMP0010,48,58.9,37.74,58.11
589,CMP0010,49,70.97,39.22,85.3
590,CMP0010,50,67.2,77.53,80.32
591,CMP0010,51,83.22,71.24,35.75
592,CMP0010,52,53.27,70.62,76.33
593,CMP0010,53,89.57,43.66,61.47
594,CMP0010,54,98.38,88.78,46.1
595,CMP0010,55,97.62,71.59,78.08
596,CMP0010,56,40.89,58.87,50.0
597,CMP0010,57,62.18,59.16,48.83
598,CMP0010,58,66.6,65.15,88.56
599,CMP0010,59,88.07,66.26,41.91
600,CMP0010,60,54.53,40.3,61.79
601,CMP0011,1,86.7,66.51,88.25
602,CMP0011,2,62.44,87.06,31.33
603,CMP0011,3,82.72,53.1,54.14
604,CMP0011,4,51.69,78.96,78.15
605,CMP0011,5,44.14,89.75,47.33
606,CMP0011,6,59.0,70.64,47.37
607,CMP0011,7,58.32,39.46,40.44
608,CMP0011,8,51.55,35.86,83.87
609,CMP0011,9,45.82,62.88,72.16
610,CMP0011,10,75.45,84.79,77.87
611,CMP0011,11,45.14,41.01,75.5
612,CMP0011,12,75.34,61.24,74.53
613,CMP0011,13,98.17,71.59,34.25
614,CMP0011,14,52.89,32.42,42.07
615,CMP0011,15,92.02,74.8,81.47
616,CMP0011,16,67.87,74.66,67.17
617,CMP0011,17,50.79,58.07,88.08
618,CMP0011,18,59.04,46.92,61.85
619,CMP0011,19,77.1,36.79,39.38
620,CMP0011,20,50.24,69.77,81.15
621,CMP0011,21,87.29,72.25,65.38
622,CMP0011,22,54.49,60.58,52.8
623,CMP0011,23,74.31,45.22,43.68
624,CMP0011,24,54.8,57.01,31.33
625,CMP0011,25,47.05,77.14,70.41
626,CMP0011,26,88.21,89.74,45.16
627,CMP0011,27,79.22,87.37,30.18
628,CMP0011,28,48.1,58.12,86.31
629,CMP0011,29,49.2,74.0,30.02
630,CMP0011,30,95.4,57.44,80.77
631,CMP0011,31,94.57,31.08,63.42
632,CMP0011,32,70.82,78.18,52.42
