EmployeeSnapshotID,CompanyID,PeriodID,EmployeeCount,AvgSalary
90,CMP0005,10,6755,29.3
91,CMP0005,11,2150,92.44
92,CMP0005,12,3870,65.87
93,CMP0005,13,6923,79.2
94,CMP0005,14,5059,54.85
95,CMP0005,15,5566,90.47
96,CMP0005,16,2003,105.63
97,CMP0005,17,6832,60.13
98,CMP0005,18,7181,83.63
99,CMP0005,19,8071,49.37
100,CMP0005,20,2335,74.23
101,CMP0006,1,6234,91.57
102,CMP0006,2,5993,77.92
103,CMP0006,3,4659,92.98
104,CMP0006,4,2784,79.54
105,CMP0006,5,3000,63.57
106,CMP0006,6,2680,71.04
107,CMP0006,7,7812,89.96
108,CMP0006,8,5429,108.28
109,CMP0006,9,8499,92.11
110,CMP0006,10,6278,78.44
111,CMP0006,11,2827,66.54
112,CMP0006,12,6146,90.2
113,CMP0006,13,6128,97.69
114,CMP0006,14,2717,68.75
115,CMP0006,15,5876,50.21
116,CMP0006,16,9408,78.81
117,CMP0006,17,3775,41.95
118,CMP0006,18,7521,75.58
119,CMP0006,19,5513,58.85
120,CMP0006,20,3786,102.57
121,CMP0007,1,2942,79.25
122,CMP0007,2,4307,56.38
123,CMP0007,3,3180,59.32
124,CMP0007,4,2833,77.23
125,CMP0007,5,2399,86.73
126,CMP0007,6,1852,81.99
127,CMP0007,7,2448,56.99
128,CMP0007,8,2609,57.07
129,CMP0007,9,1203,58.73
130,CMP0007,10,2217,115.77
131,CMP0007,11,1068,87.26
132,CMP0007,12,3395,111.21
133,CMP0007,13,3441,92.85
134,CMP0007,14,2711,85.99
135,CMP0007,15,1164,53.95
136,CMP0007,16,1271,87.59
137,CMP0007,17,1289,99.11
138,CMP0007,18,3590,31.04
139,CMP0007,19,3489,94.27
140,CMP0007,20,1823,81.56
141,CMP0008,1,12274,67.23
142,CMP0008,2,9192,77.89
143,CMP0008,3,6005,84.45
144,CMP0008,4,12269,95.25
145,CMP0008,5,12320,85.57
146,CMP0008,6,7250,66.13
147,CMP0008,7,12986,65.47
148,CMP0008,8,6393,67.05
149,CMP0008,9,13313,57.96
150,CMP0008,10,15635,53.46
151,CMP0008,11,9851,84.74
152,CMP0008,12,6414,44.91
153,CMP0008,13,11646,49.68
154,CMP0008,14,10116,88.08
155,CMP0008,15,7966,60.35
156,CMP0008,16,10361,68.44
157,CMP0008,17,15069,107.47
158,CMP0008,18,7435,61.93
159,CMP0008,19,9229,48.75
160,CMP0008,20,7253,62.94
161,CMP0009,1,7703,80.92
162,CMP0009,2,10644,94.88
163,CMP0009,3,5627,59.82
164,CMP0009,4,10865,83.35
165,CMP0009,5,13773,66.25
166,CMP0009,6,5809,59.46
167,CMP0009,7,6824,91.0
168,CMP0009,8,12981,60.66
169,CMP0009,9,12145,83.07
170,CMP0009,10,13964,104.99
171,CMP0009,11,9709,67.89
172,CMP0009,12,6705,45.2
173,CMP0009,13,9325,77.55
174,CMP0009,14,8129,56.94
175,CMP0009,15,7255,72.9
176,CMP0009,16,11009,66.63
177,CMP0009,17,15890,71.17
178,CMP0009,18,13092,95.75
179,CMP0009,19,17187,33.61
180,CMP0009,20,4090,61.4
181,CMP0010,1,4851,60.52
182,CMP0010,2,4929,64.09
183,CMP0010,3,8000,46.12
184,CMP0010,4,6886,60.56
185,CMP0010,5,8344,45.41
186,CMP0010,6,5597,71.96
187,CMP0010,7,14307,34.54
188,CMP0010,8,15284,75.71
189,CMP0010,9,10577,83.12
190,CMP0010,10,6680,87.25
191,CMP0010,11,14591,93.78
192,CMP0010,12,14963,63.84
193,CMP0010,13,6551,54.62
194,CMP0010,14,8011,75.55
195,CMP0010,15,10771,91.2
196,CMP0010,16,5294,92.42
197,CMP0010,17,7644,60.48
198,CMP0010,18,13623,67.31
199,CMP0010,19,14013,67.21
200,CMP0010,20,14948,99.05
201,CMP0011,1,5276,91.5
202,CMP0011,2,1578,47.32
203,CMP0011,3,5184,91.07
204,CMP0011,4,4200,55.16
205,CMP0011,5,4295,62.08
206,CMP0011,6,2983,57.0
207,CMP0011,7,3362,82.77
208,CMP0011,8,3128,81.69
209,CMP0011,9,2051,78.96
210,CMP0011,10,5447,37.65
211,CMP0011,11,6362,68.3
212,CMP0011,12,2910,65.85
213,CMP0011,13,2495,54.84
214,CMP0011,14,3550,81.75
215,CMP0011,15,3443,74.28
216,CMP0011,16,7644,64.19
217,CMP0011,17,3704,70.22
218,CMP0011,18,4040,91.05
219,CMP0011,19,7112,64.97
220,CMP0011,20,6061,74.57
221,CMP0012,1,1637,109.91
222,CMP0012,2,2899,78.43
223,CMP0012,3,2900,48.17
224,CMP0012,4,3169,81.5
225,CMP0012,5,4542,60.42
226,CMP0012,6,3106,72.87
227,CMP0012,7,2686,47.67
228,CMP0012,8,2669,75.21
229,CMP0012,9,4246,33.08
230,CMP0012,10,1503,73.54
231,CMP0012,11,3642,47.55
232,CMP0012,12,3902,43.47
233,CMP0012,13,4088,69.53
234,CMP0012,14,4326,83.79
235,CMP0012,15,4084,58.4
236,CMP0012,16,3735,87.75
237,CMP0012,17,3603,43.23
238,CMP0012,18,2933,69.09
239,CMP0012,19,2179,85.81
240,CMP0012,20,5328,43.55
241,CMP0013,1,2591,78.35
242,CMP0013,2,2746,84.88
243,CMP0013,3,2523,72.11
244,CMP0013,4,3743,98.26
245,CMP0013,5,6039,63.29
246,CMP0013,6,4881,54.7
247,CMP0013,7,3574,65.22
248,CMP0013,8,2731,70.89
249,CMP0013,9,4234,66.26
250,CMP0013,10,2331,100.26
251,CMP0013,11,3532,73.02
252,CMP0013,12,6559,45.66
253,CMP0013,13,6970,92.17
254,CMP0013,14,6300,84.02
255,CMP0013,15,2588,63.35
256,CMP0013,16,6247,82.89
257,CMP0013,17,2599,94.3
258,CMP0013,18,6130,110.4
259,CMP0013,19,9722,65.87
260,CMP0013,20,7239,56.94
261,CMP0014,1,7845,109.74
262,CMP0014,2,4979,81.16
263,CMP0014,3,6229,47.39
264,CMP0014,4,8200,79.09
265,CMP0014,5,3430,66.46
266,CMP0014,6,3780,57.0
267,CMP0014,7,4381,69.37
268,CMP0014,8,2631,34.48
269,CMP0014,9,8996,77.88
270,CMP0014,10,4035,68.76
271,CMP0014,11,5502,114.38
272,CMP0014,12,8210,59.22
273,CMP0014,13,3338,47.95
274,CMP0014,14,6152,79.17
275,CMP0014,15,5918,57.86
276,CMP0014,16,7387,27.39
277,CMP0014,17,3025,58.6
278,CMP0014,18,7950,85.16
279,CMP0014,19,2771,71.84
280,CMP0014,20,10554,99.45
281,CMP0015,1,2673,48.09
282,CMP0015,2,8203,73.33
283,CMP0015,3,4504,59.95
284,CMP0015,4,5185,37.5
285,CMP0015,5,7195,65.67
286,CMP0015,6,8421,56.41
287,CMP0015,7,2932,72.59
288,CMP0015,8,5032,63.43
289,CMP0015,9,7851,54.16
290,CMP0015,10,6017,63.75
291,CMP0015,11,6104,26.29
292,CMP0015,12,3454,95.73
293,CMP0015,13,6358,77.07
294,CMP0015,14,9003,59.95
295,CMP0015,15,6898,83.46
296,CMP0015,16,7874,46.42
297,CMP0015,17,11610,78.87
298,CMP0015,18,2626,65.51
299,CMP0015,19,9579,58.12
300,CMP0015,20,6134,59.92
301,CMP0016,1,10374,55.85
302,CMP0016,2,6758,37.37
303,CMP0016,3,3755,68.07
304,CMP0016,4,8330,59.97
305,CMP0016,5,12658,87.86
306,CMP0016,6,13132,78.75
307,CMP0016,7,5350,88.01
308,CMP0016,8,9662,84.43
309,CMP0016,9,12986,61.64
310,CMP0016,10,9827,44.9
311,CMP0016,11,7036,78.83
312,CMP0016,12,8808,55.76
313,CMP0016,13,6887,87.63
314,CMP0016,14,8705,81.08
315,CMP0016,15,6906,95.54
316,CMP0016,16,10429,49.48
317,CMP0016,17,9906,62.77
318,CMP0016,18,10129,75.16
319,CMP0016,19,10833,97.99
320,CMP0016,20,9998,102.57
321,CMP0017,1,7795,28.7
322,CMP0017,2,6967,80.22
323,CMP0017,3,3944,71.62
324,CMP0017,4,3498,86.08
325,CMP0017,5,6845,55.87
326,CMP0017,6,8383,80.63
327,CMP0017,7,5375,44.71
328,CMP0017,8,6313,58.81
329,CMP0017,9,6349,98.01
330,CMP0017,10,4894,67.28
331,CMP0017,11,6160,80.94
332,CMP0017,12,4535,72.39
333,CMP0017,13,5040,17.18
334,CMP0017,14,2787,58.68
335,CMP0017,15,9400,80.05
336,CMP0017,16,6023,101.98
337,CMP0017,17,9405,77.97
338,CMP0017,18,4474,59.57
339,CMP0017,19,7065,37.57
340,CMP0017,20,6218,40.52
341,CMP0018,1,1585,26.2
342,CMP0018,2,2483,96.24
343,CMP0018,3,1725,71.43
344,CMP0018,4,1832,40.41
345,CMP0018,5,2301,111.0
346,CMP0018,6,2400,77.92
347,CMP0018,7,1935,53.31
348,CMP0018,8,3040,77.4
349,CMP0018,9,2536,78.16
350,CMP0018,10,2686,55.44
351,CMP0018,11,2710,47.14
352,CMP0018,12,1290,94.58
353,CMP0018,13,2918,87.44
354,CMP0018,14,2921,53.26
355,CMP0018,15,1941,90.25
356,CMP0018,16,2654,34.27
357,CMP0018,17,3364,85.86
358,CMP0018,18,1857,73.36
359,CMP0018,19,2317,56.15
360,CMP0018,20,2293,69.78
361,CMP0019,1,2071,48.72
362,CMP0019,2,3733,88.32
363,CMP0019,3,2278,65.94
364,CMP0019,4,4641,40.74
365,CMP0019,5,5831,65.59
366,CMP0019,6,2633,59.01
367,CMP0019,7,2926,45.01
368,CMP0019,8,5747,49.5
369,CMP0019,9,2165,47.8
370,CMP0019,10,4742,69.09
371,CMP0019,11,7850,77.62
372,CMP0019,12,4576,85.74
373,CMP0019,13,7782,93.87
374,CMP0019,14,7222,108.8
375,CMP0019,15,8322,52.32
376,CMP0019,16,2723,94.3
377,CMP0019,17,9364,37.09
378,CMP0019,18,8545,64.97
379,CMP0019,19,8594,76.66
380,CMP0019,20,5392,76.93
381,CMP0020,1,7304,74.86
382,CMP0020,2,8333,85.02
383,CMP0020,3,7193,52.73
384,CMP0020,4,9328,41.89
385,CMP0020,5,4638,59.65
386,CMP0020,6,5333,86.04
387,CMP0020,7,7412,37.68
388,CMP0020,8,9294,73.63
389,CMP0020,9,3794,50.17
390,CMP0020,10,5662,72.26
391,CMP0020,11,10220,87.19
392,CMP0020,12,6237,74.43
393,CMP0020,13,7599,65.99
394,CMP0020,14,4864,32.2
395,CMP0020,15,6783,65.14
396,CMP0020,16,10993,102.77
397,CMP0020,17,7573,89.8
398,CMP0020,18,5125,85.88
399,CMP0020,19,13262,106.27
400,CMP0020,20,7499,55.68
401,CMP0021,1,15906,70.22
402,CMP0021,2,6687,72.99
403,CMP0021,3,13623,63.59
404,CMP0021,4,17486,63.29
405,CMP0021,5,18450,62.07
406,CMP0021,6,10203,55.58
407,CMP0021,7,10580,54.86
408,CMP0021,8,11726,58.07
409,CMP0021,9,8049,43.58
410,CMP0021,10,12388,56.84
411,CMP0021,11,12515,62.36
412,CMP0021,12,11513,52.14
413,CMP0021,13,9862,90.93
414,CMP0021,14,9659,101.14
415,CMP0021,15,10410,70.35
416,CMP0021,16,14873,81.64
417,CMP0021,17,12847,77.92
418,CMP0021,18,13007,68.39
419,CMP0021,19,20752,92.44
420,CMP0021,20,21379,80.23
421,CMP0022,1,1522,80.82
422,CMP0022,2,1581,25.63
423,CMP0022,3,2940,34.38
424,CMP0022,4,739,74.46
425,CMP0022,5,2112,60.1
426,CMP0022,6,1965,43.34
427,CMP0022,7,2970,72.15
428,CMP0022,8,2289,85.13
429,CMP0022,9,2235,87.62
430,CMP0022,10,3059,46.12
431,CMP0022,11,2664,83.16
432,CMP0022,12,1094,76.88
433,CMP0022,13,2075,80.02
434,CMP0022,14,2162,85.32
435,CMP0022,15,830,78.21
436,CMP0022,16,2395,83.11
437,CMP0022,17,2309,99.04
438,CMP0022,18,1711,65.57
439,CMP0022,19,1918,66.23
440,CMP0022,20,3255,73.16
441,CMP0023,1,5675,52.49
442,CMP0023,2,9150,115.48
443,CMP0023,3,10911,63.86
444,CMP0023,4,9041,73.56
445,CMP0023,5,15013,114.31
446,CMP0023,6,13431,46.83
447,CMP0023,7,6240,88.63
448,CMP0023,8,6801,55.12
449,CMP0023,9,3507,40.08
450,CMP0023,10,6155,80.95
451,CMP0023,11,10276,29.34
452,CMP0023,12,12170,67.63
453,CMP0023,13,8659,58.92
454,CMP0023,14,4974,56.78
455,CMP0023,15,9383,79.94
456,CMP0023,16,8692,63.45
457,CMP0023,17,10324,55.33
458,CMP0023,18,7771,106.67
459,CMP0023,19,7785,42.22
460,CMP0023,20,5018,43.43
461,CMP0024,1,3995,81.76
462,CMP0024,2,9381,67.17
463,CMP0024,3,9289,93.63
464,CMP0024,4,6661,53.48
465,CMP0024,5,10967,131.54
466,CMP0024,6,12031,97.48
467,CMP0024,7,8756,53.56
468,CMP0024,8,6137,49.64
469,CMP0024,9,13036,44.56
470,CMP0024,10,5099,98.28
471,CMP0024,11,9684,60.8
472,CMP0024,12,4276,65.89
473,CMP0024,13,12475,76.54
474,CMP0024,14,9739,65.29
475,CMP0024,15,11768,77.79
476,CMP0024,16,7633,117.84
477,CMP0024,17,11524,61.52
478,CMP0024,18,3576,84.67
479,CMP0024,19,8859,66.28
480,CMP0024,20,12611,80.77
481,CMP0025,1,2218,100.16
482,CMP0025,2,6402,75.72
483,CMP0025,3,2919,31.96
484,CMP0025,4,4658,87.79
485,CMP0025,5,8662,55.29
486,CMP0025,6,3984,67.95
487,CMP0025,7,5994,70.65
488,CMP0025,8,6762,32.03
489,CMP0025,9,3030,68.99
490,CMP0025,10,6440,78.52
491,CMP0025,11,2614,61.5
492,CMP0025,12,6457,89.8
493,CMP0025,13,5817,52.37
494,CMP0025,14,6430,50.02
495,CMP0025,15,5172,89.84
496,CMP0025,16,7908,39.55
497,CMP0025,17,5400,84.49
498,CMP0025,18,7127,23.41
499,CMP0025,19,4876,77.97
500,CMP0025,20,7805,99.13
501,CMP0026,1,3675,61.75
502,CMP0026,2,2826,59.04
503,CMP0026,3,1618,40.59
504,CMP0026,4,5407,97.27
505,CMP0026,5,7756,65.83
506,CMP0026,6,4979,94.67
507,CMP0026,7,4701,91.68
508,CMP0026,8,1927,64.9
509,CMP0026,9,7246,63.06
510,CMP0026,10,5169,25.98
511,CMP0026,11,4007,33.86
512,CMP0026,12,6186,63.93
513,CMP0026,13,6746,78.63
514,CMP0026,14,8125,103.69
515,CMP0026,15,5117,56.01
516,CMP0026,16,2534,84.66
517,CMP0026,17,3536,65.89
518,CMP0026,18,3321,46.42
519,CMP0026,19,3647,72.14
520,CMP0026,20,3907,57.34
521,CMP0027,1,4805,96.76
522,CMP0027,2,4575,101.75
523,CMP0027,3,5302,82.39
524,CMP0027,4,4235,45.83
525,CMP0027,5,7999,75.91
526,CMP0027,6,8680,87.18
527,CMP0027,7,3852,57.58
528,CMP0027,8,6198,96.02
529,CMP0027,9,4193,103.97
530,CMP0027,10,4843,69.28
531,CMP0027,11,6074,61.06
532,CMP0027,12,3860,53.94
533,CMP0027,13,5070,74.49
534,CMP0027,14,5804,63.49
535,CMP0027,15,9180,71.89
536,CMP0027,16,3427,60.89
537,CMP0027,17,10208,89.07
538,CMP0027,18,6578,96.37
539,CMP0027,19,5270,67.87
540,CMP0027,20,5104,70.17
541,CMP0028,1,5497,77.19
542,CMP0028,2,5774,60.05
543,CMP0028,3,4982,67.9
544,CMP0028,4,9622,107.97
545,CMP0028,5,10034,79.01
546,CMP0028,6,6441,45.7
547,CMP0028,7,7768,57.44
548,CMP0028,8,4118,50.47
549,CMP0028,9,3033,70.59
550,CMP0028,10,7214,37.53
551,CMP0028,11,5149,79.15
552,CMP0028,12,6782,72.79
553,CMP0028,13,8729,93.54
554,CMP0028,14,4059,53.16
555,CMP0028,15,4661,58.06
556,CMP0028,16,7018,61.6
557,CMP0028,17,9480,128.55
558,CMP0028,18,3669,59.64
559,CMP0028,19,5749,56.93
560,CMP0028,20,7921,76.43
561,CMP0029,1,6427,42.19
562,CMP0029,2,1409,69.29
563,CMP0029,3,3615,67.62
564,CMP0029,4,5729,109.82
565,CMP0029,5,3095,84.92
566,CMP0029,6,2767,84.15
567,CMP0029,7,2577,72.69
568,CMP0029,8,3830,50.5
569,CMP0029,9,3779,67.83
570,CMP0029,10,3670,94.25
571,CMP0029,11,5634,88.77
572,CMP0029,12,2440,49.46
573,CMP0029,13,2317,72.76
574,CMP0029,14,6097,64.17
575,CMP0029,15,3587,55.71
576,CMP0029,16,5389,72.19
577,CMP0029,17,5570,105.32
578,CMP0029,18,7707,69.21
579,CMP0029,19,3903,48.56
580,CMP0029,20,7536,101.58
581,CMP0030,1,7056,66.75
582,CMP0030,2,4995,74.61
583,CMP0030,3,5504,65.86
584,CMP0030,4,5344,54.44
585,CMP0030,5,2003,91.8
586,CMP0030,6,2071,65.6
587,CMP0030,7,3187,84.49
588,CMP0030,8,4486,87.43
589,CMP0030,9,8767,66.86
590,CMP0030,10,6657,93.34
591,CMP0030,11,3765,58.95
592,CMP0030,12,5805,101.64
593,CMP0030,13,4832,70.24
594,CMP0030,14,3619,77.88
595,CMP0030,15,3153,65.67
596,CMP0030,16,5859,82.85
597,CMP0030,17,3274,49.93
598,CMP0030,18,6812,89.38
599,CMP0030,19,8412,45.82
600,CMP0030,20,8001,63.7
601,CMP0031,1,12319,76.13
602,CMP0031,2,5040,54.27
603,CMP0031,3,5400,93.92
604,CMP0031,4,11316,60.18
605,CMP0031,5,12363,89.47
606,CMP0031,6,9653,30.72
607,CMP0031,7,7570,62.65
608,CMP0031,8,12245,78.63
609,CMP0031,9,5424,104.03
610,CMP0031,10,9085,59.5
611,CMP0031,11,10944,77.19
612,CMP0031,12,7692,97.15
613,CMP0031,13,11180,41.66
614,CMP0031,14,4991,106.59
615,CMP0031,15,6371,70.68
616,CMP0031,16,4779,36.36
617,CMP0031,17,6095,28.58
618,CMP0031,18,5717,85.08
619,CMP0031,19,9882,79.45
620,CMP0031,20,13132,105.73
621,CMP0032,1,14377,54.77
622,CMP0032,2,11210,86.14
623,CMP0032,3,14431,100.81
624,CMP0032,4,11678,16.51
625,CMP0032,5,13504,64.39
626,CMP0032,6,12792,96.92
627,CMP0032,7,14445,112.86
628,CMP0032,8,7309,74.9
629,CMP0032,9,16810,33.19
630,CMP0032,10,20203,35.97
631,CMP0032,11,10135,85.35
632,CMP0032,12,9637,69.22
633,CMP0032,13,19415,54.79
634,CMP0032,14,8400,105.93
635,CMP0032,15,5986,59.1
636,CMP0032,16,10662,15.85
637,CMP0032,17,18030,88.72
638,CMP0032,18,8051,72.87
639,CMP0032,19,8081,80.41
640,CMP0032,20,6861,42.01
641,CMP0033,1,4965,53.39
642,CMP0033,2,3920,71.27
643,CMP0033,3,3018,75.81
644,CMP0033,4,3815,54.07
645,CMP0033,5,4864,91.41
646,CMP0033,6,4094,119.47
647,CMP0033,7,5440,65.69
648,CMP0033,8,8092,84.28
649,CMP0033,9,6495,93.36
650,CMP0033,10,4892,58.29
651,CMP0033,11,1984,129.58
652,CMP0033,12,6701,61.54
653,CMP0033,13,4782,45.03
654,CMP0033,14,4055,89.06
655,CMP0033,15,9372,71.78
656,CMP0033,16,4089,101.13
657,CMP0033,17,2695,103.84
658,CMP0033,18,3951,54.76
659,CMP0033,19,3360,81.44
660,CMP0033,20,4973,55.52
661,CMP0034,1,3592,78.65
662,CMP0034,2,7963,69.81
663,CMP0034,3,10120,34.12
664,CMP0034,4,6892,93.42
665,CMP0034,5,3016,92.33
666,CMP0034,6,3264,86.53
667,CMP0034,7,7626,101.21
668,CMP0034,8,6801,58.9
669,CMP0034,9,10614,69.9
670,CMP0034,10,8990,85.54
671,CMP0034,11,12152,110.97
672,CMP0034,12,4083,59.36
673,CMP0034,13,13731,85.33
674,CMP0034,14,9101,46.94
675,CMP0034,15,11362,55.77
676,CMP0034,16,10829,93.6
677,CMP0034,17,5705,63.82
678,CMP0034,18,8011,103.54
679,CMP0034,19,12924,31.3
680,CMP0034,20,7990,61.33
681,CMP0035,1,1510,81.6
682,CMP0035,2,1464,80.55
683,CMP0035,3,1193,86.56
684,CMP0035,4,2870,49.39
685,CMP0035,5,2333,93.73
686,CMP0035,6,1484,71.98
687,CMP0035,7,1714,65.32
688,CMP0035,8,2051,55.33
689,CMP0035,9,1465,37.52
690,CMP0035,10,1814,66.12
691,CMP0035,11,840,66.24
692,CMP0035,12,2293,90.75
693,CMP0035,13,2197,85.09
694,CMP0035,14,2844,29.89
695,CMP0035,15,2016,103.73
696,CMP0035,16,2844,107.84
697,CMP0035,17,1205,79.91
698,CMP0035,18,1416,60.99
699,CMP0035,19,2984,84.05
700,CMP0035,20,2263,60.72
701,CMP0036,1,5978,51.69
702,CMP0036,2,6239,83.27
703,CMP0036,3,8956,79.29
704,CMP0036,4,4100,76.28
705,CMP0036,5,7744,97.77
706,CMP0036,6,11813,103.31
707,CMP0036,7,10721,85.64
708,CMP0036,8,4522,80.8
709,CMP0036,9,4106,39.72
710,CMP0036,10,12327,64.91
711,CMP0036,11,4044,57.66
712,CMP0036,12,10847,62.66
713,CMP0036,13,14541,25.09
714,CMP0036,14,10158,57.45
715,CMP0036,15,5578,59.68
716,CMP0036,16,5356,25.16
717,CMP0036,17,10702,22.42
718,CMP0036,18,11228,29.01
719,CMP0036,19,14410,85.9
720,CMP0036,20,11876,46.92
721,CMP0037,1,2099,55.5
722,CMP0037,2,2412,99.39
723,CMP0037,3,5695,40.92
724,CMP0037,4,3070,74.57
725,CMP0037,5,2876,57.19
726,CMP0037,6,2886,70.24
727,CMP0037,7,5725,82.95
728,CMP0037,8,6410,99.51
729,CMP0037,9,3906,74.38
730,CMP0037,10,6232,92.98
731,CMP0037,11,2183,28.98
732,CMP0037,12,6373,59.35
733,CMP0037,13,3554,65.96
734,CMP0037,14,4816,83.04
735,CMP0037,15,8241,81.54
736,CMP0037,16,8015,28.76
737,CMP0037,17,3472,63.11
738,CMP0037,18,7724,107.68
739,CMP0037,19,4447,96.0
740,CMP0037,20,7641,104.77
741,CMP0038,1,9020,62.28
742,CMP0038,2,9304,54.13
743,CMP0038,3,11016,53.33
744,CMP0038,4,4724,66.44
745,CMP0038,5,5778,89.25
746,CMP0038,6,6367,64.59
747,CMP0038,7,13620,52.17
748,CMP0038,8,16592,63.85
749,CMP0038,9,7337,60.82
750,CMP0038,10,13305,62.92
751,CMP0038,11,15579,72.83
752,CMP0038,12,11965,59.02
753,CMP0038,13,13935,76.7
754,CMP0038,14,19057,79.35
755,CMP0038,15,10243,51.88
756,CMP0038,16,12945,86.99
757,CMP0038,17,16721,92.42
758,CMP0038,18,16053,111.99
759,CMP0038,19,18283,61.9
760,CMP0038,20,11070,35.69
761,CMP0039,1,1569,69.42
762,CMP0039,2,4319,108.56
763,CMP0039,3,5742,53.97
764,CMP0039,4,2906,116.81
765,CMP0039,5,2263,108.51
766,CMP0039,6,1901,71.39
767,CMP0039,7,2849,51.83
768,CMP0039,8,4941,73.0
769,CMP0039,9,5057,58.05
770,CMP0039,10,3022,60.16
771,CMP0039,11,1768,83.21
772,CMP0039,12,3491,58.31
773,CMP0039,13,2753,31.46
774,CMP0039,14,1468,46.83
775,CMP0039,15,6106,75.59
776,CMP0039,16,2606,50.41
777,CMP0039,17,2445,56.23
778,CMP0039,18,6923,14.1
779,CMP0039,19,2753,87.52
780,CMP0039,20,6676,95.58
781,CMP0040,1,8150,68.58
782,CMP0040,2,5824,71.59
783,CMP0040,3,3226,82.46
784,CMP0040,4,7019,43.35
785,CMP0040,5,6065,65.07
786,CMP0040,6,6269,50.7
787,CMP0040,7,8978,61.81
788,CMP0040,8,4205,104.37
789,CMP0040,9,3924,59.36
790,CMP0040,10,5757,97.49
791,CMP0040,11,6131,87.65
792,CMP0040,12,10880,85.96
793,CMP0040,13,7562,66.25
794,CMP0040,14,3724,103.26
795,CMP0040,15,9316,50.59
796,CMP0040,16,6193,43.4
797,CMP0040,17,7474,68.86
798,CMP0040,18,6664,77.66
799,CMP0040,19,5049,86.19
800,CMP0040,20,5994,44.93
801,CMP0041,1,3401,67.79
802,CMP0041,2,2059,49.66
803,CMP0041,3,3419,61.32
804,CMP0041,4,3725,66.57
805,CMP0041,5,3620,75.39
806,CMP0041,6,5634,38.53
807,CMP0041,7,2799,82.99
808,CMP0041,8,5382,74.21
809,CMP0041,9,3239,68.0
810,CMP0041,10,5066,118.65
811,CMP0041,11,5850,90.69
812,CMP0041,12,3656,66.45
813,CMP0041,13,6207,104.29
814,CMP0041,14,2180,14.22
815,CMP0041,15,3718,70.92
816,CMP0041,16,5322,62.14
817,CMP0041,17,6054,80.96
818,CMP0041,18,5147,66.38
819,CMP0041,19,4031,76.83
