ESGID,CompanyID,PeriodID,EnvironmentalScore,SocialScore,GovernanceScore
142,CMP0008,2,41.29,66.77,66.7
143,CMP0008,3,40.85,26.0,38.94
144,CMP0008,4,28.72,19.78,34.74
145,CMP0008,5,88.37,87.62,59.56
146,CMP0008,6,51.33,84.55,38.58
147,CMP0008,7,48.17,92.24,39.23
148,CMP0008,8,52.11,19.63,53.23
149,CMP0008,9,42.01,0.0,48.39
150,CMP0008,10,48.5,50.93,41.22
151,CMP0008,11,37.95,57.03,38.69
152,CMP0008,12,26.56,44.42,57.94
153,CMP0008,13,49.47,67.66,45.5
154,CMP0008,14,33.92,0.0,54.37
155,CMP0008,15,80.86,42.43,56.02
156,CMP0008,16,45.62,23.74,58.83
157,CMP0008,17,38.72,18.38,52.01
158,CMP0008,18,40.35,75.6,46.65
159,CMP0008,19,56.35,65.43,50.06
160,CMP0008,20,58.69,61.52,51.94
161,CMP0009,1,55.26,80.94,49.77
162,CMP0009,2,61.45,80.14,34.82
163,CMP0009,3,52.03,60.67,47.41
164,CMP0009,4,65.43,28.67,57.24
165,CMP0009,5,59.76,11.55,58.47
166,CMP0009,6,52.94,61.34,58.89
167,CMP0009,7,40.31,71.0,33.84
168,CMP0009,8,61.01,42.01,50.83
169,CMP0009,9,50.54,74.5,55.01
170,CMP0009,10,81.58,32.74,62.22
171,CMP0009,11,50.45,55.87,66.95
172,CMP0009,12,46.7,13.64,54.52
173,CMP0009,13,50.1,61.38,63.4
174,CMP0009,14,49.72,76.52,46.01
175,CMP0009,15,47.28,45.34,51.47
176,CMP0009,16,72.82,45.18,55.12
177,CMP0009,17,23.99,42.75,53.62
178,CMP0009,18,20.61,69.65,58.55
179,CMP0009,19,38.82,60.77,52.6
180,CMP0009,20,46.2,30.71,40.36
181,CMP0010,1,56.86,92.83,45.38
182,CMP0010,2,56.12,86.97,55.61
183,CMP0010,3,54.99,24.21,35.14
184,CMP0010,4,48.18,42.58,48.32
185,CMP0010,5,71.22,60.84,58.99
186,CMP0010,6,63.81,64.35,60.86
187,CMP0010,7,54.85,54.73,53.91
188,CMP0010,8,75.84,59.46,49.45
189,CMP0010,9,61.34,52.29,60.04
190,CMP0010,10,45.43,27.41,43.73
191,CMP0010,11,67.7,63.43,44.06
192,CMP0010,12,49.87,52.11,42.08
193,CMP0010,13,63.2,51.77,42.9
194,CMP0010,14,69.53,30.21,50.6
195,CMP0010,15,62.76,71.87,55.59
196,CMP0010,16,52.14,58.05,41.78
197,CMP0010,17,62.33,49.54,42.22
198,CMP0010,18,63.98,43.34,25.61
199,CMP0010,19,78.54,59.07,47.15
200,CMP0010,20,52.38,52.04,45.47
201,CMP0011,1,91.56,62.53,40.98
202,CMP0011,2,33.84,57.38,34.75
203,CMP0011,3,20.42,55.45,55.47
204,CMP0011,4,56.43,58.84,59.81
205,CMP0011,5,39.73,50.54,64.9
206,CMP0011,6,68.06,56.03,47.94
207,CMP0011,7,45.09,86.61,39.85
208,CMP0011,8,43.66,51.88,50.38
209,CMP0011,9,63.37,26.52,47.33
210,CMP0011,10,60.72,61.64,45.76
211,CMP0011,11,60.62,63.52,50.19
212,CMP0011,12,59.9,86.25,56.18
213,CMP0011,13,43.74,96.99,47.53
214,CMP0011,14,63.71,58.01,51.01
215,CMP0011,15,36.31,55.29,40.46
216,CMP0011,16,47.92,74.16,57.79
217,CMP0011,17,53.92,72.74,45.79
218,CMP0011,18,45.72,63.45,51.09
219,CMP0011,19,21.62,68.59,38.51
220,CMP0011,20,81.9,20.6,44.02
221,CMP0012,1,71.02,74.41,58.03
222,CMP0012,2,53.45,64.95,56.66
223,CMP0012,3,33.5,67.67,50.88
224,CMP0012,4,27.23,47.86,58.9
225,CMP0012,5,40.1,35.07,47.2
226,CMP0012,6,68.18,60.23,46.31
227,CMP0012,7,29.71,40.93,59.32
228,CMP0012,8,44.6,28.48,45.87
229,CMP0012,9,49.27,85.27,43.87
230,CMP0012,10,53.11,56.39,42.78
231,CMP0012,11,45.93,78.8,60.14
232,CMP0012,12,58.27,61.81,53.91
233,CMP0012,13,49.35,47.29,54.2
234,CMP0012,14,76.24,82.63,37.08
235,CMP0012,15,46.48,89.1,46.99
236,CMP0012,16,57.23,30.25,58.69
237,CMP0012,17,46.86,77.14,56.41
238,CMP0012,18,41.76,72.19,46.13
239,CMP0012,19,39.65,41.02,45.08
240,CMP0012,20,94.24,79.89,36.49
241,CMP0013,1,29.55,58.5,79.85
242,CMP0013,2,35.18,65.7,39.63
243,CMP0013,3,76.17,40.81,37.41
244,CMP0013,4,51.69,63.9,29.08
245,CMP0013,5,65.83,34.72,50.86
246,CMP0013,6,9.73,60.19,49.54
247,CMP0013,7,62.57,53.94,62.24
248,CMP0013,8,45.86,73.81,54.96
249,CMP0013,9,40.05,42.29,38.1
250,CMP0013,10,46.87,97.2,52.69
251,CMP0013,11,56.22,83.07,56.98
252,CMP0013,12,77.97,77.2,49.08
253,CMP0013,13,34.88,36.84,65.19
254,CMP0013,14,37.74,42.81,39.87
255,CMP0013,15,58.06,34.83,30.37
256,CMP0013,16,60.06,49.15,45.31
257,CMP0013,17,37.83,34.67,47.56
258,CMP0013,18,70.02,67.59,60.71
259,CMP0013,19,76.32,65.0,36.01
260,CMP0013,20,60.38,86.95,49.34
261,CMP0014,1,50.06,30.88,53.73
262,CMP0014,2,56.22,64.27,50.44
263,CMP0014,3,32.73,38.85,48.51
264,CMP0014,4,53.8,71.41,49.66
265,CMP0014,5,47.05,41.67,48.22
266,CMP0014,6,49.07,64.59,58.75
267,CMP0014,7,44.72,47.41,53.32
268,CMP0014,8,55.25,34.92,49.05
269,CMP0014,9,41.76,77.59,56.82
270,CMP0014,10,49.21,89.08,62.47
271,CMP0014,11,36.13,60.24,37.45
272,CMP0014,12,41.17,38.25,43.92
273,CMP0014,13,53.31,63.03,54.68
274,CMP0014,14,58.02,79.58,43.63
275,CMP0014,15,36.35,53.61,58.9
276,CMP0014,16,44.22,62.66,51.41
277,CMP0014,17,100.0,23.94,46.99
278,CMP0014,18,41.97,62.17,42.69
279,CMP0014,19,60.03,40.95,37.95
280,CMP0014,20,36.66,74.11,58.76
281,CMP0015,1,48.01,67.81,48.09
282,CMP0015,2,72.37,71.32,58.65
283,CMP0015,3,43.24,77.71,38.94
284,CMP0015,4,59.06,17.99,57.8
285,CMP0015,5,44.87,60.28,62.72
286,CMP0015,6,44.58,53.06,51.49
287,CMP0015,7,91.21,16.84,41.4
288,CMP0015,8,66.44,63.67,28.36
289,CMP0015,9,50.45,79.01,45.37
290,CMP0015,10,59.6,44.72,38.53
291,CMP0015,11,67.49,43.27,52.24
292,CMP0015,12,43.96,19.26,61.57
293,CMP0015,13,54.76,24.71,53.22
294,CMP0015,14,89.85,62.02,66.26
295,CMP0015,15,78.82,53.87,62.19
296,CMP0015,16,82.61,41.16,63.08
297,CMP0015,17,52.88,40.41,53.61
298,CMP0015,18,82.44,45.48,41.6
299,CMP0015,19,65.17,64.82,46.42
300,CMP0015,20,49.85,75.09,50.97
301,CMP0016,1,34.68,79.2,47.31
302,CMP0016,2,6.4,47.5,39.61
303,CMP0016,3,54.7,88.96,41.35
304,CMP0016,4,34.97,39.95,35.33
305,CMP0016,5,57.83,47.47,47.94
306,CMP0016,6,60.69,17.34,46.28
307,CMP0016,7,69.18,68.27,42.76
308,CMP0016,8,25.15,44.51,42.65
309,CMP0016,9,60.43,49.28,28.85
310,CMP0016,10,30.79,58.79,60.07
311,CMP0016,11,64.07,67.57,47.6
312,CMP0016,12,55.51,57.96,41.19
313,CMP0016,13,50.69,39.8,52.87
314,CMP0016,14,67.55,57.69,50.8
315,CMP0016,15,63.15,54.37,52.75
316,CMP0016,16,55.08,36.24,52.17
317,CMP0016,17,55.42,45.81,32.62
318,CMP0016,18,52.94,36.92,34.51
319,CMP0016,19,41.16,61.9,62.87
320,CMP0016,20,34.6,79.6,40.35
321,CMP0017,1,35.32,64.16,40.2
322,CMP0017,2,79.89,39.41,51.73
323,CMP0017,3,41.87,65.12,42.72
324,CMP0017,4,51.86,39.17,47.96
325,CMP0017,5,32.76,100.0,45.96
326,CMP0017,6,48.48,45.14,76.34
327,CMP0017,7,48.75,41.5,45.97
328,CMP0017,8,54.89,79.17,61.41
329,CMP0017,9,58.61,66.47,37.24
330,CMP0017,10,42.24,44.04,44.62
331,CMP0017,11,44.92,88.91,68.97
332,CMP0017,12,42.68,71.42,33.62
333,CMP0017,13,51.97,78.07,63.86
334,CMP0017,14,36.26,77.69,36.06
335,CMP0017,15,65.6,78.61,43.73
336,CMP0017,16,41.04,76.56,44.46
337,CMP0017,17,54.23,65.05,25.07
338,CMP0017,18,70.52,31.63,23.73
339,CMP0017,19,53.95,54.02,48.4
340,CMP0017,20,44.03,42.76,68.1
341,CMP0018,1,49.52,37.18,49.38
342,CMP0018,2,53.37,73.08,47.03
343,CMP0018,3,54.3,23.88,68.63
344,CMP0018,4,66.03,67.08,73.04
345,CMP0018,5,65.11,45.52,46.34
346,CMP0018,6,50.51,57.23,48.21
347,CMP0018,7,45.74,41.26,32.21
348,CMP0018,8,56.32,60.34,46.61
349,CMP0018,9,47.26,47.45,57.17
350,CMP0018,10,52.41,99.25,46.4
351,CMP0018,11,31.13,63.04,42.78
352,CMP0018,12,33.21,47.13,51.79
353,CMP0018,13,53.97,64.46,59.37
354,CMP0018,14,65.98,84.05,40.84
355,CMP0018,15,70.28,27.63,37.47
356,CMP0018,16,64.93,89.06,33.62
357,CMP0018,17,66.05,72.93,33.28
358,CMP0018,18,39.28,65.43,53.22
359,CMP0018,19,52.68,52.87,45.46
360,CMP0018,20,54.16,54.55,53.22
361,CMP0019,1,41.56,75.04,45.02
362,CMP0019,2,63.8,48.97,49.84
363,CMP0019,3,34.12,58.62,63.03
364,CMP0019,4,40.41,37.18,41.48
365,CMP0019,5,36.98,35.12,54.2
366,CMP0019,6,58.36,52.32,54.03
367,CMP0019,7,41.52,78.64,54.81
368,CMP0019,8,45.83,48.26,42.19
369,CMP0019,9,71.07,80.92,38.93
370,CMP0019,10,41.96,49.72,39.39
371,CMP0019,11,37.89,33.05,35.23
372,CMP0019,12,61.16,38.35,48.57
373,CMP0019,13,6.5,39.0,30.92
374,CMP0019,14,48.13,43.62,44.46
375,CMP0019,15,57.32,25.02,49.08
376,CMP0019,16,61.29,31.25,51.82
377,CMP0019,17,59.88,48.01,42.27
378,CMP0019,18,45.07,62.19,37.92
379,CMP0019,19,57.81,40.37,68.9
380,CMP0019,20,87.27,80.05,38.5
381,CMP0020,1,52.87,50.01,75.02
382,CMP0020,2,24.66,45.57,30.25
383,CMP0020,3,50.43,55.59,47.3
384,CMP0020,4,42.68,67.67,50.23
385,CMP0020,5,52.98,78.55,47.87
386,CMP0020,6,38.28,49.8,65.99
387,CMP0020,7,7.41,72.47,49.7
388,CMP0020,8,48.43,62.87,42.62
389,CMP0020,9,53.1,60.01,58.09
390,CMP0020,10,26.94,52.1,45.54
391,CMP0020,11,45.42,53.82,44.95
392,CMP0020,12,33.52,83.41,48.87
393,CMP0020,13,41.15,79.24,45.07
394,CMP0020,14,74.44,47.55,47.57
395,CMP0020,15,47.94,88.95,43.19
396,CMP0020,16,63.37,55.08,56.19
397,CMP0020,17,10.54,39.68,49.65
398,CMP0020,18,45.97,18.27,45.67
399,CMP0020,19,39.32,28.42,49.39
400,CMP0020,20,42.82,62.19,73.49
401,CMP0021,1,74.05,76.95,34.34
402,CMP0021,2,49.86,23.57,42.06
403,CMP0021,3,61.11,70.96,31.41
404,CMP0021,4,89.83,100.0,38.24
405,CMP0021,5,59.39,23.58,63.56
406,CMP0021,6,76.1,44.06,42.4
407,CMP0021,7,68.87,59.68,60.35
408,CMP0021,8,48.74,30.07,31.12
409,CMP0021,9,46.5,14.56,48.99
410,CMP0021,10,63.93,42.8,51.45
411,CMP0021,11,78.08,79.13,34.73
412,CMP0021,12,64.4,53.66,38.63
413,CMP0021,13,61.58,54.6,48.93
414,CMP0021,14,76.26,87.08,54.22
415,CMP0021,15,32.94,54.05,34.18
416,CMP0021,16,50.96,61.36,56.49
417,CMP0021,17,66.68,41.55,52.23
418,CMP0021,18,61.18,76.08,40.3
419,CMP0021,19,76.62,41.27,35.67
420,CMP0021,20,64.81,51.71,57.63
421,CMP0022,1,76.08,44.17,49.28
422,CMP0022,2,63.93,16.01,46.49
423,CMP0022,3,74.19,75.03,52.65
424,CMP0022,4,54.89,65.0,36.43
425,CMP0022,5,70.2,59.01,46.81
426,CMP0022,6,79.01,60.77,38.43
427,CMP0022,7,87.74,62.66,41.95
428,CMP0022,8,72.69,65.28,45.39
429,CMP0022,9,64.29,45.78,46.27
430,CMP0022,10,47.92,76.54,28.3
431,CMP0022,11,39.71,60.87,42.57
432,CMP0022,12,57.33,36.74,45.83
433,CMP0022,13,76.11,74.45,48.89
434,CMP0022,14,63.25,48.93,47.81
435,CMP0022,15,51.03,37.27,58.51
436,CMP0022,16,44.92,62.2,44.62
437,CMP0022,17,63.29,41.27,41.57
438,CMP0022,18,72.13,43.31,42.51
439,CMP0022,19,87.31,69.51,51.37
440,CMP0022,20,68.19,11.57,49.92
441,CMP0023,1,53.43,48.1,54.89
442,CMP0023,2,41.54,63.31,38.29
443,CMP0023,3,41.2,41.66,42.67
444,CMP0023,4,28.03,81.3,49.93
445,CMP0023,5,44.14,50.03,56.27
446,CMP0023,6,39.63,68.75,46.77
447,CMP0023,7,10.67,64.61,39.45
448,CMP0023,8,63.46,77.6,43.26
449,CMP0023,9,31.29,65.2,62.73
450,CMP0023,10,48.62,86.13,54.9
451,CMP0023,11,61.54,69.46,51.12
452,CMP0023,12,56.1,35.76,51.35
453,CMP0023,13,58.35,55.03,54.15
454,CMP0023,14,58.77,47.6,53.92
455,CMP0023,15,41.15,35.11,52.5
456,CMP0023,16,50.76,67.71,60.79
457,CMP0023,17,49.49,69.62,43.49
458,CMP0023,18,49.22,52.27,71.5
459,CMP0023,19,55.65,83.55,45.81
460,CMP0023,20,35.9,78.15,49.71
461,CMP0024,1,53.62,47.43,51.45
462,CMP0024,2,37.9,56.51,56.86
463,CMP0024,3,42.06,100.0,47.64
464,CMP0024,4,51.96,52.17,45.24
465,CMP0024,5,24.73,44.32,51.51
466,CMP0024,6,39.78,74.36,59.94
467,CMP0024,7,57.13,69.99,48.26
468,CMP0024,8,60.06,67.08,46.08
469,CMP0024,9,63.92,81.64,31.39
470,CMP0024,10,74.96,61.1,55.87
471,CMP0024,11,53.58,97.9,58.95
472,CMP0024,12,64.74,27.0,55.87
473,CMP0024,13,65.6,85.58,53.65
474,CMP0024,14,48.15,61.18,43.44
475,CMP0024,15,71.79,63.78,27.55
476,CMP0024,16,46.68,56.39,51.93
477,CMP0024,17,58.5,22.39,50.55
478,CMP0024,18,38.99,52.17,65.98
479,CMP0024,19,42.32,45.52,51.89
480,CMP0024,20,31.46,80.09,57.31
481,CMP0025,1,50.45,64.98,33.08
482,CMP0025,2,56.44,71.63,47.78
483,CMP0025,3,61.11,48.9,60.47
484,CMP0025,4,43.44,22.48,42.28
485,CMP0025,5,51.28,74.13,73.25
486,CMP0025,6,56.78,30.82,45.0
487,CMP0025,7,51.95,75.58,55.02
488,CMP0025,8,59.68,54.75,37.66
489,CMP0025,9,25.15,68.78,43.16
490,CMP0025,10,44.94,57.76,55.21
491,CMP0025,11,43.24,43.52,55.36
492,CMP0025,12,61.97,31.47,48.98
493,CMP0025,13,23.68,60.46,29.25
494,CMP0025,14,32.77,60.12,63.69
495,CMP0025,15,20.07,50.99,53.68
496,CMP0025,16,46.58,83.78,41.1
497,CMP0025,17,44.77,78.2,44.94
498,CMP0025,18,37.34,67.85,50.31
499,CMP0025,19,11.8,91.15,55.06
500,CMP0025,20,73.72,48.81,49.73
501,CMP0026,1,66.36,24.46,44.97
502,CMP0026,2,77.87,38.63,60.92
503,CMP0026,3,70.86,77.26,39.07
504,CMP0026,4,84.28,63.32,37.83
505,CMP0026,5,66.85,95.27,55.62
506,CMP0026,6,48.62,35.43,47.28
507,CMP0026,7,56.1,35.31,45.49
508,CMP0026,8,67.13,20.06,44.61
509,CMP0026,9,77.9,73.24,43.31
510,CMP0026,10,55.06,88.5,47.25
511,CMP0026,11,65.63,38.42,33.95
512,CMP0026,12,57.15,25.05,63.63
513,CMP0026,13,43.12,47.77,44.95
514,CMP0026,14,51.2,42.6,40.91
515,CMP0026,15,60.35,47.9,37.0
516,CMP0026,16,38.83,71.06,52.4
517,CMP0026,17,64.67,59.16,42.77
518,CMP0026,18,54.26,15.48,44.3
519,CMP0026,19,58.63,25.87,45.78
520,CMP0026,20,65.13,53.8,43.98
521,CMP0027,1,61.5,46.16,51.11
522,CMP0027,2,20.31,49.62,49.88
523,CMP0027,3,62.39,51.6,66.37
524,CMP0027,4,29.39,74.35,64.07
525,CMP0027,5,52.17,58.31,36.18
526,CMP0027,6,38.2,39.31,67.99
527,CMP0027,7,51.66,40.08,43.38
528,CMP0027,8,54.97,87.36,54.61
529,CMP0027,9,51.78,79.48,48.02
530,CMP0027,10,71.77,40.21,60.55
531,CMP0027,11,3.19,55.63,56.9
532,CMP0027,12,79.64,33.33,50.07
533,CMP0027,13,80.54,78.72,65.4
534,CMP0027,14,28.35,68.74,54.86
535,CMP0027,15,61.53,68.19,67.67
536,CMP0027,16,48.73,58.48,69.94
537,CMP0027,17,55.97,40.19,58.65
538,CMP0027,18,45.21,65.86,50.75
539,CMP0027,19,58.45,52.38,61.28
540,CMP0027,20,39.42,68.18,34.13
541,CMP0028,1,70.01,64.02,45.33
542,CMP0028,2,41.54,25.12,62.55
543,CMP0028,3,23.8,44.13,46.23
544,CMP0028,4,64.61,60.98,42.27
545,CMP0028,5,34.46,62.24,53.2
546,CMP0028,6,38.49,42.92,45.52
547,CMP0028,7,49.21,59.26,46.66
548,CMP0028,8,44.24,59.05,49.82
549,CMP0028,9,31.5,74.33,43.24
550,CMP0028,10,59.4,53.4,52.05
551,CMP0028,11,37.46,11.31,52.74
552,CMP0028,12,25.62,4.87,52.97
553,CMP0028,13,46.13,62.58,56.95
554,CMP0028,14,66.55,83.84,52.19
555,CMP0028,15,60.26,91.68,55.98
556,CMP0028,16,33.45,71.41,51.84
557,CMP0028,17,41.13,22.6,46.49
558,CMP0028,18,29.28,19.04,27.76
559,CMP0028,19,68.42,51.83,52.18
560,CMP0028,20,25.73,62.62,41.83
561,CMP0029,1,54.12,9.68,46.49
562,CMP0029,2,12.53,61.26,70.92
563,CMP0029,3,39.88,65.11,49.13
564,CMP0029,4,44.02,64.72,55.06
565,CMP0029,5,34.06,78.62,54.03
566,CMP0029,6,70.36,90.83,70.88
567,CMP0029,7,43.94,21.66,35.05
568,CMP0029,8,53.85,57.35,67.34
569,CMP0029,9,46.75,61.76,44.08
570,CMP0029,10,56.8,59.66,60.13
571,CMP0029,11,34.45,63.7,46.06
572,CMP0029,12,27.52,77.87,43.36
573,CMP0029,13,41.31,58.99,60.94
574,CMP0029,14,25.47,74.36,48.89
575,CMP0029,15,43.78,26.46,50.69
576,CMP0029,16,45.82,96.06,46.45
577,CMP0029,17,50.08,61.82,65.0
578,CMP0029,18,84.82,67.07,40.92
579,CMP0029,19,33.6,58.7,54.53
580,CMP0029,20,50.83,45.47,52.25
581,CMP0030,1,26.78,55.67,53.03
582,CMP0030,2,53.5,40.64,44.12
583,CMP0030,3,65.94,35.92,54.53
584,CMP0030,4,38.57,59.21,65.3
585,CMP0030,5,28.17,31.57,37.59
586,CMP0030,6,49.75,68.67,55.91
587,CMP0030,7,53.86,45.22,43.84
588,CMP0030,8,51.39,23.71,51.43
589,CMP0030,9,40.82,28.14,46.04
590,CMP0030,10,49.08,40.02,54.17
591,CMP0030,11,33.85,44.79,46.23
592,CMP0030,12,84.38,92.35,38.38
593,CMP0030,13,40.1,22.9,40.73
594,CMP0030,14,57.81,48.44,35.74
595,CMP0030,15,44.55,70.83,38.81
596,CMP0030,16,40.93,64.96,55.37
597,CMP0030,17,44.63,70.18,52.67
598,CMP0030,18,40.99,57.79,50.73
599,CMP0030,19,61.13,53.44,45.44
600,CMP0030,20,34.4,68.98,64.49
601,CMP0031,1,64.82,50.57,35.59
602,CMP0031,2,62.92,33.4,70.74
603,CMP0031,3,73.19,47.24,63.06
604,CMP0031,4,52.67,50.28,47.2
605,CMP0031,5,77.11,52.13,48.35
606,CMP0031,6,49.8,48.15,44.0
607,CMP0031,7,41.36,50.07,26.99
608,CMP0031,8,81.48,27.29,50.29
609,CMP0031,9,29.94,63.79,62.68
610,CMP0031,10,64.59,36.52,43.32
611,CMP0031,11,54.45,47.69,55.04
612,CMP0031,12,40.22,47.72,59.66
613,CMP0031,13,58.22,43.99,55.1
614,CMP0031,14,42.64,52.0,43.71
615,CMP0031,15,71.22,39.68,45.39
616,CMP0031,16,67.11,31.41,56.17
617,CMP0031,17,47.91,38.01,45.17
618,CMP0031,18,45.74,70.07,29.36
619,CMP0031,19,51.82,74.16,56.64
620,CMP0031,20,61.98,58.51,37.31
621,CMP0032,1,57.37,81.11,34.2
622,CMP0032,2,44.78,53.5,46.31
623,CMP0032,3,49.38,66.54,43.39
624,CMP0032,4,42.25,34.53,52.8
625,CMP0032,5,44.46,32.96,49.85
626,CMP0032,6,60.28,83.04,46.97
627,CMP0032,7,60.61,65.07,49.65
628,CMP0032,8,53.81,19.14,47.12
629,CMP0032,9,51.55,14.32,37.58
630,CMP0032,10,63.69,63.43,49.4
631,CMP0032,11,52.82,69.47,66.45
632,CMP0032,12,14.32,58.85,53.65
